,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L453,2.6752234e-05,3.4805416e-06,7.800569e-06,9.303447e-06,7.0457318e-06,9.495416e-07,1.8480932e-09,2.5325571e-06,7.7711593e-07,9.2113623e-07,1.6517879e-07,1.7225102e-07,3.5965058e-07,1.1024531e-07,3.5196717e-07,4.827598e-07,2.3836037e-08,1.0782969e-08,7.8794255e-07,7.8474113e-07,4.278263e-09,8.895877e-07,8.858042e-07
L644,1.0079864e-05,5.6534263e-06,3.2190437e-06,1.4206671e-06,2.0308871e-06,1.1285156e-06,2.2099266e-07,4.362533e-06,1.0122822e-06,1.1852535e-07,7.016206e-07,1.1373049e-07,9.606083e-07,1.4729449e-07,3.840105e-07,1.5910337e-07,2.0876178e-07,5.433685e-08,5.555339e-07,3.397363e-07,5.318725e-09,6.5596396e-07,1.1176962e-06
L1027,3.7775899e-06,1.5678233e-07,1.0689837e-06,1.9503786e-06,4.516769e-07,5.4671546e-08,1.9179424e-08,1.3416866e-07,2.1464075e-08,2.3967004e-08,4.321919e-09,1.3184035e-08,6.519258e-09,2.1391315e-09,1.8058927e-08,6.344635e-09,8.090865e-09,2.561137e-09,2.2671884e-08,1.2470991e-08,2.764864e-10,2.8885552e-08,4.400499e-08
L130,0.00043829333,2.9756848e-07,4.5010893e-07,3.8878716e-07,1.9428262e-07,4.6209607e-08,7.948984e-09,5.4129487e-08,2.474917e-08,1.7869752e-08,4.8639777e-09,2.7685019e-09,6.2282197e-09,3.7107384e-10,2.6921043e-10,5.0640665e-09,1.891749e-10,1.3096724e-10,2.401066e-10,2.9831426e-10,4.7293724e-11,3.3105607e-10,3.1286618e-10
L1363,2.7027134e-05,1.3042518e-05,1.157714e-05,6.070637e-06,4.192727e-06,2.5251356e-06,5.767215e-07,1.8886058e-05,4.300062e-06,2.0285806e-06,4.7108333e-06,1.8702849e-06,5.703696e-06,2.9940566e-07,1.1398952e-06,4.274625e-07,5.1817915e-07,1.6861304e-07,1.4747056e-06,8.4543717e-07,1.6472768e-08,1.6792474e-06,3.1809905e-06
L1791,1.3165263e-06,8.967472e-07,1.9137442e-06,5.4750126e-07,8.157076e-08,6.9845555e-07,8.4175554e-07,3.862515e-07,6.082337e-07,1.9030558e-06,1.4684192e-06,6.6213397e-07,3.380119e-07,7.9563324e-07,4.5360503e-07,1.2142991e-06,9.895957e-07,3.3753167e-07,9.006544e-07,9.960422e-07,1.3504177e-08,8.602583e-07,1.624132e-06
L1939,1.66073e-06,4.2871397e-07,2.0726675e-06,7.339733e-06,3.8137168e-06,2.5339095e-06,1.7125512e-07,4.84864e-06,2.9670446e-07,3.7245263e-07,4.029789e-08,2.1164306e-07,1.2241253e-07,2.1471533e-07,2.859324e-07,1.8454548e-06,3.482819e-08,9.1425136e-08,3.1748277e-07,1.3827412e-07,5.8817022e-09,2.4064047e-07,6.657883e-07
L218,5.6784484e-07,7.853421e-06,3.78798e-06,5.0554518e-06,1.1728844e-06,7.4942363e-07,1.9003346e-07,1.0902295e-06,2.4186156e-06,8.2692713e-07,2.292436e-06,1.5271362e-06,3.2024982e-06,1.5559781e-06,3.657915e-07,1.512235e-07,1.6242848e-07,7.2954776e-05,7.236813e-07,4.0546e-07,7.654307e-09,8.275383e-07,1.2721866e-06
L393,7.374874e-07,1.4242687e-08,2.0461812e-07,3.997593e-07,9.622454e-09,3.3469405e-10,8.731149e-11,8.221832e-10,1.6370905e-10,2.1464075e-10,2.1827873e-11,1.2732926e-10,0.0,4.0017767e-11,1.2732926e-10,4.3655746e-11,3.274181e-11,2.1827873e-11,1.6007107e-10,8.731149e-11,7.275958e-12,1.5279511e-10,3.237801e-10
L59,1.2332748e-09,2.764864e-10,1.8408173e-09,5.7552825e-09,8.8276647e-07,7.795461e-07,2.3610482e-09,1.0733675e-06,2.0328662e-07,2.3731991e-07,3.906098e-08,3.2152457e-08,8.910138e-08,2.7866918e-08,7.5859134e-08,4.5142951e-07,9.815267e-09,5.0968083e-09,3.0943556e-07,3.0824594e-07,2.3756002e-09,3.783607e-07,3.9399674e-07
L75,4.062509e-06,2.457593e-06,2.253335e-06,1.0101649e-06,4.990652e-07,2.9556395e-07,9.522046e-08,3.6914644e-06,9.3777635e-07,6.841219e-07,1.1942611e-06,5.609181e-07,1.5721962e-06,6.4464984e-08,1.9535946e-07,6.474875e-08,7.683411e-08,2.9060175e-08,2.3617758e-07,1.2261444e-07,3.1213858e-09,2.5785266e-07,6.48477e-07
L1032,9.662617e-07,1.0291842e-08,2.4966357e-07,5.126494e-07,4.5802153e-08,3.1650416e-10,1.05501385e-10,2.073648e-09,1.4915713e-10,1.7826096e-10,2.910383e-11,1.0186341e-10,3.274181e-11,3.6379788e-11,1.3096724e-10,4.3655746e-11,4.7293724e-11,7.275958e-12,1.6007107e-10,8.731149e-11,3.637979e-12,1.9645086e-10,3.092282e-10
L1144,2.1024287e-05,3.2578828e-07,1.815884e-05,1.7444021e-05,1.0700722e-05,8.335715e-06,1.4086254e-08,4.919202e-06,3.6835263e-07,4.1855674e-07,3.3105607e-08,9.008551e-05,3.7514837e-08,5.248876e-08,1.6635022e-07,1.9284453e-05,5.347829e-09,3.173045e-08,4.0375016e-07,3.2562093e-07,4.321919e-09,3.8644794e-07,5.76023e-07
L13,1.0033618e-06,2.140223e-08,2.4519613e-07,4.9240407e-07,4.4299668e-08,3.2014214e-10,9.094947e-11,9.422365e-10,1.4188117e-10,1.6370905e-10,2.1827873e-11,1.0186341e-10,4.0017767e-11,1.0913936e-11,1.1641532e-10,5.0931703e-11,4.0017767e-11,1.0913936e-11,1.5279511e-10,8.367351e-11,0.0,1.7462298e-10,3.092282e-10
L1345,0.00054064905,5.9074373e-06,5.7420984e-06,5.465321e-06,1.4984398e-06,7.219205e-07,2.1609594e-07,7.994648e-06,2.37301e-06,1.9555155e-06,3.2219978e-06,1.5276019e-06,4.094414e-06,1.3105455e-07,4.5477645e-07,1.5087426e-07,1.686858e-07,7.5553544e-08,5.5032433e-07,2.8594513e-07,7.21775e-09,5.9240847e-07,1.2470118e-06
L1346,2.0487394e-05,5.5345445e-06,5.1138486e-06,4.7325884e-06,1.3310782e-06,6.7941437e-07,2.0787411e-07,7.63149e-06,2.2850872e-06,1.8851861e-06,3.106572e-06,1.4727993e-06,3.947527e-06,1.2636883e-07,4.384492e-07,1.4544639e-07,1.6261765e-07,7.2817784e-08,5.3059193e-07,2.7571514e-07,6.9558155e-09,5.711918e-07,1.2022647e-06
L1347,0.000563534,8.5685315e-08,2.2982204e-07,2.8366048e-07,5.8356818e-08,6.9994712e-09,3.8926373e-10,1.5883415e-08,8.767529e-10,4.6929927e-10,7.712515e-10,3.6743586e-10,9.822543e-10,2.910383e-11,1.09139364e-10,3.274181e-11,4.3655746e-11,1.8189894e-11,1.3460522e-10,6.91216e-11,0.0,1.382432e-10,3.0195224e-10
L1353,6.757735e-06,4.0174345e-06,3.5856647e-06,1.7795392e-06,8.326606e-07,4.9300434e-07,1.5865953e-07,6.069429e-06,1.5495898e-06,1.1120428e-06,1.9561267e-06,9.184005e-07,2.5895424e-06,1.0151416e-07,3.2431853e-07,1.0750955e-07,1.2811506e-07,5.0509698e-08,3.92145e-07,2.0362495e-07,5.16593e-09,4.2856846e-07,9.184878e-07
L1355,4.089299e-06,2.4433757e-06,2.1860833e-06,1.0776203e-06,5.0901144e-07,3.0133378e-07,9.701034e-08,3.7099817e-06,9.471478e-07,6.7966175e-07,1.1955708e-06,5.6126737e-07,1.5826517e-06,6.205664e-08,1.9824074e-07,6.57019e-08,7.831841e-08,3.0871888e-08,2.3967004e-07,1.2444798e-07,3.1504896e-09,2.619563e-07,5.6136923e-07
L147,1.938398e-05,7.0353126e-06,7.4411364e-06,4.743604e-06,2.9932708e-06,1.5499827e-06,1.1136581e-07,1.0209653e-05,2.3695757e-06,1.2431992e-06,2.2944005e-06,1.0427902e-06,2.8286595e-06,8.151983e-08,3.1723175e-07,1.7232378e-07,1.2267265e-07,5.0640665e-08,6.123737e-07,4.285248e-07,4.5401976e-09,6.5084896e-07,9.2128175e-07
L165,0.00020263626,5.1118037e-05,0.0003508309,0.0002050396,1.994078e-06,1.244247e-06,3.9924635e-07,4.092208e-05,1.3055629e-05,1.7547281e-05,2.2077176e-05,9.834592e-06,4.2625936e-05,8.274219e-07,1.4138641e-07,4.7148205e-09,1.4530378e-06,3.6379788e-07,2.9453076e-08,1.7805723e-07,2.1536835e-09,1.076085e-06,2.2760942e-06
L167,6.2633553e-06,3.2140088e-06,3.2060707e-06,1.5713085e-06,6.2491745e-07,3.705427e-07,1.1928933e-07,4.3230684e-06,1.0811273e-06,7.430863e-07,1.3433455e-06,6.33474e-07,1.6790655e-06,7.425842e-08,2.4147448e-07,7.97736e-08,1.0358781e-07,3.803143e-08,2.9080547e-07,1.5005935e-07,3.8344297e-09,3.2431853e-07,6.846094e-07
L171,0.00020182834,7.4018535e-05,0.00037487515,0.00020511122,1.9025756e-06,1.1899392e-06,3.8178405e-07,4.156487e-05,1.3217039e-05,1.7659739e-05,2.2279099e-05,9.929761e-06,4.2881293e-05,8.3848136e-07,1.0582153e-07,6.9267116e-09,1.4381367e-06,3.5844278e-07,7.211929e-08,2.0011794e-07,1.5716068e-09,1.0285876e-06,2.3771427e-06
L1863,9.894429e-07,8.5576903e-07,1.0935764e-06,1.0820513e-06,3.0660594e-06,1.90227e-06,5.540496e-07,1.5641854e-07,2.8446084e-07,1.4283869e-06,1.1868542e-06,6.2301115e-07,3.3527613e-07,6.455957e-07,4.800095e-07,8.0416794e-07,4.97821e-07,2.4982728e-07,5.144684e-07,6.6906796e-07,1.2369128e-08,7.6938886e-07,1.2634555e-06
L1865,1.1748634e-06,4.152971e-07,1.6921695e-06,4.048925e-07,3.0908705e-06,1.7596903e-06,4.829926e-07,1.1690863e-06,6.0681487e-09,9.57516e-09,7.5365824e-07,6.539194e-07,6.5920176e-07,2.4407927e-07,3.3178367e-09,2.1634332e-07,4.2439206e-07,5.5803685e-07,5.628099e-07,1.9704748e-07,5.0931703e-09,5.609036e-07,4.0474697e-07
L19,1.553839e-05,4.1927706e-06,3.830093e-06,7.3995034e-07,2.8553477e-06,1.9978906e-06,4.642352e-07,4.785921e-06,8.165807e-07,1.2018863e-06,5.2066753e-08,7.057679e-07,2.6760972e-08,2.401648e-07,7.6388824e-07,2.6082853e-07,1.515873e-07,1.21232e-07,9.574724e-07,5.2840915e-07,1.2543751e-08,9.2231494e-07,1.8467254e-06
L194,0.00013572513,0.0010691017,3.2391836e-06,1.6722188e-06,7.4382115e-07,4.4025364e-07,1.4364196e-07,1.3968092e-05,1.087712e-06,8.9868263e-07,1.4765246e-06,6.918999e-07,1.8697174e-06,2.1391315e-09,2.1621236e-07,7.152266e-08,8.1723556e-08,2.0867446e-08,2.6117777e-07,1.3526005e-07,3.434252e-09,2.8239447e-07,6.0888124e-07
L2035,2.5504705e-06,2.660272e-07,7.200106e-07,1.3206045e-06,6.7518704e-07,1.08509994e-07,5.3842086e-10,2.8499926e-08,4.9469236e-08,5.7196303e-08,8.738425e-09,1.1132215e-08,1.4977559e-08,5.173206e-09,5.4569682e-11,2.3683242e-08,3.0559022e-10,3.092282e-10,6.22822e-08,6.2482286e-08,1.05501385e-10,6.2449544e-08,3.2014214e-10
L212,6.926988e-06,3.0518568e-06,2.711633e-06,1.7036655e-06,7.613562e-07,3.8786675e-07,8.144707e-08,4.7979265e-06,1.1057273e-06,9.26957e-07,1.5325058e-06,7.222843e-07,1.7571001e-06,3.9988663e-08,1.8652645e-07,6.6604116e-08,6.768096e-08,1.2500095e-07,2.2770837e-07,1.1899101e-07,2.9976945e-09,2.4373003e-07,5.1094685e-07
L231,2.2641761e-05,8.143397e-06,1.4583959e-05,1.0997901e-05,4.2189204e-06,2.2594177e-06,5.1013194e-07,2.3422966e-05,2.8026989e-08,1.203976e-05,1.2627133e-05,6.025599e-06,1.0326592e-05,2.4793553e-07,3.49537e-07,1.5029218e-07,5.5797864e-07,7.636845e-08,4.794856e-07,2.840825e-07,5.7625584e-09,8.539355e-07,1.8634018e-06
L297,3.8077793e-05,1.591316e-05,1.3447541e-05,0.00023128428,1.552944e-07,8.857387e-08,2.8721843e-08,1.2748205e-06,3.2030584e-07,2.6761336e-07,4.387839e-07,2.0851803e-07,5.5868804e-07,1.7866114e-08,6.202026e-08,2.059096e-08,2.300294e-08,1.0302756e-08,7.508788e-08,3.906098e-08,9.822543e-10,8.083953e-08,1.700937e-07
L298,4.5394845e-05,2.4581415e-05,2.066666e-05,0.00036303073,1.7140337e-07,9.699579e-08,3.1330273e-08,1.3912795e-06,3.495952e-07,2.9192597e-07,4.7872163e-07,2.2748645e-07,6.0951425e-07,1.9485014e-08,6.766277e-08,2.2453605e-08,2.5098416e-08,1.1234079e-08,8.190909e-08,4.2611646e-08,1.0695658e-09,8.819916e-08,1.8555875e-07
L300,4.4784014e-05,1.8136285e-05,1.5642436e-05,0.00022916954,7.572089e-07,3.6226993e-07,1.0711665e-07,4.7809153e-06,1.2024539e-06,9.921787e-07,1.6319391e-06,7.7456934e-07,2.0754087e-06,6.634218e-08,2.3040047e-07,7.645576e-08,8.5448846e-08,3.8256985e-08,2.7891656e-07,1.451117e-07,3.6525307e-09,3.0030787e-07,6.318587e-07
L3135,9.857638e-06,3.7735008e-06,3.5332705e-06,2.0156876e-06,1.7685452e-06,1.0182703e-06,1.6761624e-07,5.10065e-06,1.1404627e-06,2.3975736e-07,1.0484582e-06,3.9136648e-07,1.3851459e-06,8.535426e-08,3.3027027e-07,1.3720273e-07,1.4813122e-07,4.6551577e-08,4.835965e-07,3.067471e-07,4.2127795e-09,5.471302e-07,9.505384e-07
L334,1.8801235e-05,8.059986e-06,7.125229e-06,3.7260324e-06,3.1654781e-06,1.8788414e-06,4.141184e-07,1.1383119e-05,2.5582704e-06,7.5598655e-07,2.5300396e-06,9.392097e-07,3.380992e-06,2.1637243e-07,7.6433935e-07,2.8590148e-07,3.5899575e-07,1.1442171e-07,1.0167278e-06,5.872571e-07,1.1204975e-08,1.1620286e-06,2.1600863e-06
L349,4.632288e-05,1.1850818e-05,1.30274275e-05,9.752985e-06,1.1064549e-05,5.500362e-06,6.9639646e-07,7.2270515e-05,1.2920646e-06,4.346133e-06,3.6905112e-06,2.8477225e-06,4.6407804e-06,9.033829e-08,8.0667087e-07,6.299524e-07,8.1630424e-07,3.4022378e-08,1.5164551e-06,1.2131641e-06,1.8626451e-09,2.1934393e-06,2.981542e-06
L35,1.1229029e-05,2.7909118e-06,2.7606147e-06,2.826695e-06,2.2132008e-06,8.500065e-07,2.0205334e-07,2.675195e-06,6.50296e-07,3.0330557e-07,1.1766111e-05,5.7712896e-08,3.6034908e-07,7.709605e-08,2.3524626e-07,1.0417716e-07,1.3840327e-07,3.4604454e-08,3.4767436e-07,2.1373853e-07,4.0308805e-09,4.1334715e-07,6.580085e-07
L350,3.5774618e-05,9.929587e-06,1.0203046e-05,6.5681525e-06,8.239818e-06,4.3862965e-06,6.28148e-07,7.438552e-05,8.9764944e-07,3.7928257e-06,3.5980484e-06,2.6495982e-06,4.566158e-06,1.1823431e-07,6.23535e-07,4.592148e-07,7.7877485e-07,1.10740075e-08,1.066539e-06,8.549978e-07,1.4988473e-09,1.7282728e-06,2.408182e-06
L351,3.3677097e-06,4.3404725e-07,9.1505717e-07,1.623961e-06,9.4121424e-07,2.1584492e-07,1.5596015e-08,9.9113095e-08,7.6324795e-08,9.678115e-08,2.0416337e-08,1.15796865e-08,1.5061232e-08,5.7189027e-09,5.820766e-11,3.94175e-08,1.1532393e-09,9.313226e-10,9.025098e-08,9.053838e-08,5.820766e-10,9.596624e-08,2.4647306e-08
L37,5.86806e-09,7.1013346e-09,7.8216544e-10,4.0745363e-10,3.7471182e-10,2.3283064e-10,6.548362e-11,1.2987584e-09,2.910383e-10,3.6379788e-11,2.5465852e-10,6.184564e-11,3.3833203e-10,1.4551915e-11,1.1277734e-10,3.274181e-11,6.184564e-11,1.8189894e-11,1.3460522e-10,6.91216e-11,0.0,1.6007107e-10,3.0559022e-10
L371,1.6250284e-05,3.0219671e-06,4.326619e-06,4.925576e-06,4.0414743e-06,1.5748519e-06,1.3876706e-07,2.3065077e-06,5.8418664e-07,8.731149e-07,1.33769645e-05,2.830784e-07,1.00932084e-07,5.2255928e-08,2.226443e-07,1.9207073e-07,5.689799e-08,3.2421667e-08,5.2891846e-07,4.0420855e-07,1.9354047e-09,5.4326665e-07,5.938782e-07
L380,1.0459917e-05,1.539709e-06,2.923698e-06,5.333204e-06,2.4260953e-06,6.623304e-07,1.8422725e-08,8.0534664e-07,3.0372757e-07,3.1381205e-07,8.119969e-09,7.645576e-08,2.4752808e-08,1.1539669e-08,8.265488e-08,9.931682e-08,3.0602678e-08,1.1670636e-08,2.9492367e-07,2.487941e-07,1.3387762e-09,3.030582e-07,2.1354936e-07
L382,9.215582e-06,1.0530493e-06,2.6074995e-06,4.334899e-06,2.617584e-06,7.5323624e-07,5.2168616e-08,4.4681656e-07,2.8358772e-07,3.396999e-07,5.844049e-08,3.3716788e-08,4.474714e-08,2.6411726e-08,6.548362e-10,1.245935e-07,3.0267984e-09,2.401066e-09,3.1269155e-07,3.1336094e-07,1.5716068e-09,3.2772368e-07,1.4361285e-07
L410,2.1274958e-05,5.368769e-06,5.3618714e-06,1.9320723e-06,4.114845e-06,2.5778136e-06,5.816837e-07,5.9881713e-06,1.0534859e-06,1.5142869e-06,3.357127e-08,8.6757063e-07,4.8516085e-08,3.043824e-07,9.603827e-07,3.3865217e-07,1.7690763e-07,1.5308615e-07,1.2365635e-06,6.9888483e-07,1.5701517e-08,1.1820375e-06,2.3039174e-06
L432,3.2922217e-06,4.1125168e-07,8.933748e-07,1.6371814e-06,9.221003e-07,2.0114749e-07,1.5079422e-08,8.637653e-08,6.938353e-08,8.6314685e-08,1.661465e-08,9.30595e-09,1.0986696e-08,5.857146e-09,6.184564e-11,4.053436e-08,1.1204975e-09,9.349606e-10,7.6484866e-08,7.677227e-08,5.9299055e-10,8.213465e-08,5.355105e-09
L438,3.8284343e-06,8.9504465e-07,5.2028918e-06,1.5050682e-05,1.03525235e-05,4.815869e-06,2.0921289e-07,6.6874054e-06,6.159171e-07,7.682538e-07,7.355993e-09,3.8575672e-07,5.5246346e-08,9.2994014e-08,4.846006e-07,3.4756522e-06,6.4930646e-08,6.195478e-08,7.925628e-07,5.689799e-07,4.0308805e-09,8.316638e-07,1.3265089e-06
L439,8.263392e-06,1.9309664e-06,1.1220647e-05,3.2433047e-05,2.0599575e-05,9.506228e-06,4.5653724e-07,1.2868128e-05,1.0173244e-06,1.3042736e-06,6.618211e-08,7.576309e-07,2.9147486e-08,2.3818575e-07,8.8433444e-07,6.991424e-06,1.2581586e-07,1.3099634e-07,1.2755336e-06,8.032657e-07,1.132139e-08,1.2511882e-06,2.2728345e-06
L440,6.668648e-06,1.5580008e-06,9.064752e-06,2.6162612e-05,1.6631122e-05,7.747818e-06,3.6243e-07,1.0462187e-05,8.424686e-07,1.0744552e-06,5.0189556e-08,6.033515e-07,1.7258571e-08,1.9052823e-07,7.071794e-07,5.694892e-06,1.0275107e-07,1.0430813e-07,1.0674557e-06,6.876362e-07,8.716597e-09,1.0510703e-06,1.869339e-06
L466,0.00062180584,4.4119915e-05,4.8417496e-07,8.8777233e-07,3.2139724e-07,2.4530891e-08,1.2223609e-09,2.3646862e-09,1.6629201e-08,2.219167e-08,5.114998e-09,3.259629e-09,3.8962753e-09,9.240466e-10,4.4383341e-10,9.884388e-09,2.6193447e-10,2.764864e-10,2.2639142e-08,2.280649e-08,9.458745e-11,2.2784661e-08,3.1650416e-10
L50,1.2332748e-09,2.8740033e-10,1.6079866e-09,4.973117e-09,2.6055568e-07,4.1013118e-07,1.3635145e-08,4.2503234e-07,1.2045712e-07,1.4008401e-07,1.8906576e-08,1.6418198e-08,2.3588655e-08,1.0772055e-08,1.0346412e-08,1.8999708e-07,1.6516424e-09,1.3969839e-09,1.7918137e-07,1.7880302e-07,1.2259989e-09,1.8990613e-07,1.826993e-07
L61,3.1553092e-05,1.0819407e-05,4.6281668e-05,0.00014835183,0.0005397032,5.760143e-06,2.1841697e-07,3.8347283e-05,3.106834e-07,3.5768244e-07,5.6235876e-08,8.855204e-08,1.5400292e-07,4.019239e-08,1.8143692e-07,6.5899076e-07,1.8440915e-08,2.2453605e-08,5.2062023e-07,4.885842e-07,2.6702764e-09,6.1224273e-07,6.654809e-07
L634,2.8093564e-07,1.6498234e-07,6.3009793e-09,4.2942702e-08,3.6743586e-10,2.3646862e-10,6.184564e-11,1.2914825e-09,2.8740033e-10,3.6379788e-11,2.5102054e-10,6.184564e-11,3.3833203e-10,1.0913936e-11,1.1277734e-10,3.6379788e-11,5.820766e-11,1.8189894e-11,1.3460522e-10,6.91216e-11,3.637979e-12,1.5643309e-10,3.0559022e-10
L692,6.0277307e-06,1.8831342e-06,1.8902865e-06,9.66349e-07,1.150569e-06,5.9686136e-07,1.5524711e-07,2.0848893e-06,4.7166395e-07,1.9634172e-07,2.3232133e-07,5.4656994e-08,3.613677e-07,7.7801815e-08,2.3430039e-07,8.5143256e-08,1.3759563e-07,3.5142875e-08,3.0390947e-07,1.6973354e-07,3.8853614e-09,3.691748e-07,6.5698987e-07
L708,4.894282e-06,1.1480588e-06,1.3474055e-06,1.0969161e-06,9.2927803e-07,4.2117608e-07,1.0144868e-07,1.1749071e-06,2.5479676e-07,2.1710002e-07,4.7999492e-08,1.02765625e-07,9.9273166e-08,3.616151e-09,1.5757541e-07,6.3599146e-08,6.429036e-08,2.2700988e-08,2.1176675e-07,1.226872e-07,2.6484486e-09,2.3219036e-07,4.1523163e-07
L752,4.108282e-06,5.0830276e-06,8.797506e-07,3.013556e-07,6.33765e-07,4.0465966e-07,1.0689837e-07,1.293185e-06,2.5772897e-07,1.7572893e-07,9.1939e-08,8.1723556e-08,1.54585e-07,7.6848664e-08,1.629378e-07,5.5661076e-08,8.151983e-08,1.967419e-08,2.0267908e-07,1.09837856e-07,2.6630005e-09,2.3718167e-07,4.5255e-07
L757,2.6720081e-06,2.7964415e-07,2.5646295e-07,4.1125168e-07,1.8587161e-07,1.6984995e-07,3.0733645e-08,3.3623655e-07,5.122274e-08,5.9138983e-08,7.4214768e-09,3.2989192e-08,1.3867975e-08,2.6484486e-09,4.285539e-08,1.5061232e-08,1.3344106e-08,1.17579475e-08,5.3594704e-08,2.9336661e-08,7.2759576e-10,5.8833393e-08,1.0675285e-07
L776,7.2036055e-06,1.2187083e-06,1.8808205e-06,2.3924222e-06,1.1303346e-06,5.9773447e-07,1.6177364e-07,1.6930135e-06,2.6955968e-07,3.1129457e-07,3.9071892e-08,1.7519051e-07,6.95145e-08,1.6356353e-08,2.257002e-07,8.153438e-08,7.014023e-08,2.142042e-08,2.8208888e-07,1.5454134e-07,3.6670826e-09,3.095629e-07,5.615002e-07
L790,7.1470276e-06,1.6681079e-06,1.4406905e-06,7.6215656e-07,1.2577075e-06,7.679628e-07,2.1375308e-07,2.213841e-06,3.492023e-07,4.0594023e-07,5.059701e-08,2.2666063e-07,9.2361006e-08,2.0125299e-08,2.9381772e-07,1.0388612e-07,9.11532e-08,3.5055564e-08,3.6787242e-07,2.0154403e-07,4.773028e-09,4.0598388e-07,7.291965e-07
L794,2.647139e-07,1.630251e-07,1.3972749e-07,2.5505142e-07,1.5457044e-07,9.5926225e-08,2.780871e-08,9.403855e-06,4.816684e-08,5.7014404e-08,5.7916623e-09,3.0719093e-08,1.1306838e-08,2.226443e-09,4.0468876e-08,1.5133992e-08,1.276203e-08,1.4653779e-08,5.0422386e-08,2.7852366e-08,8.8766683e-10,5.5428245e-08,1.0138319e-07
L795,4.592366e-06,1.0234799e-06,8.6592627e-07,6.9839007e-07,7.3807314e-07,4.4133049e-07,1.2633973e-07,1.0580756e-05,2.0410516e-07,2.3969915e-07,2.9569492e-08,1.3437239e-07,5.2532414e-08,1.3271347e-08,1.7360435e-07,6.1729224e-08,5.3551048e-08,7.0314854e-08,2.1743472e-07,1.18947355e-07,2.8230716e-09,2.4179462e-07,4.2904867e-07
L796,5.211303e-06,1.1776574e-06,9.811192e-07,7.89616e-07,8.3784107e-07,5.014008e-07,1.4348188e-07,5.4808334e-06,2.043671e-07,2.400775e-07,2.96277e-08,1.3454701e-07,5.259062e-08,1.33004505e-08,1.7386628e-07,6.1816536e-08,5.3667463e-08,7.0402166e-08,2.1772576e-07,1.1912198e-07,2.8230716e-09,2.4220208e-07,4.2960164e-07
L812,1.0952863e-07,1.6221748e-08,3.914465e-09,5.713082e-08,5.675247e-10,3.274181e-10,9.094947e-11,9.677024e-10,1.4188117e-10,1.6370905e-10,2.1827873e-11,1.0186341e-10,4.0017767e-11,1.4551915e-11,1.2369128e-10,5.0931703e-11,3.6379788e-11,1.0913936e-11,1.5643309e-10,8.731149e-11,3.637979e-12,1.7826096e-10,3.092282e-10
L816,2.6836933e-06,2.2109089e-07,7.665876e-07,1.3203353e-06,7.2713374e-07,1.5929982e-07,1.2540113e-08,7.2959665e-08,6.949631e-08,7.561539e-08,1.4231773e-08,8.214556e-09,9.433279e-09,7.0940587e-09,3.274181e-11,2.6066118e-08,3.3469405e-10,7.9671736e-10,7.3265255e-08,7.3465344e-08,1.0186341e-10,7.343988e-08,3.092282e-10
L817,1.8014471e-06,9.826908e-08,5.357433e-07,9.644864e-07,3.7855716e-07,3.5572157e-08,1.4297257e-09,1.0077201e-09,2.2741006e-08,2.8219802e-08,5.0276867e-09,3.2305252e-09,3.6925485e-09,1.6261765e-09,4.6929927e-10,1.0826625e-08,3.092282e-10,7.566996e-10,2.6280759e-08,2.6469934e-08,9.458745e-11,2.6451744e-08,3.1286618e-10
L1614,6.5075437e-06,1.2365344e-06,1.9203435e-06,2.8128125e-06,7.299241e-08,1.100605e-06,,,,,,,,,,,,,,,,,
L1777,1.1664e-05,5.648966e-06,1.0654912e-05,8.739531e-06,2.8278446e-06,9.263225e-06,5.6740246e-06,0.00010288274,4.87332e-06,2.1700747e-05,8.0209575e-06,3.5281118e-06,3.463996e-06,1.3007782e-05,7.6235447e-06,1.2134726e-05,9.5558935e-06,7.820432e-06,8.344941e-06,1.1769356e-05,1.2194214e-06,1.0208838e-05,2.1988206e-05
L1779,8.045754e-06,6.1586616e-06,1.5505211e-05,1.06998195e-05,3.3947e-06,1.17859745e-05,8.134055e-06,0.00010368883,7.2543044e-06,2.5816873e-05,8.8081e-06,3.4574477e-06,3.6232232e-06,1.569718e-05,7.530354e-06,1.5415077e-05,1.3976707e-05,9.1469265e-06,1.2498727e-05,1.394056e-05,1.5521946e-06,1.1413242e-05,2.6174035e-05
L1940,3.0458992e-05,1.0143471e-05,4.2992353e-05,0.00014295921,7.824923e-05,4.5303008e-05,2.3187167e-06,6.3571206e-05,3.3626566e-06,3.7805585e-06,5.7485886e-07,3.146677e-06,1.1227094e-06,1.7359562e-06,3.7578284e-06,3.734918e-05,5.016627e-07,9.224168e-07,4.018628e-06,1.5179103e-06,8.1403414e-08,3.0545052e-06,8.035306e-06
L217,4.163987e-06,2.226814e-06,1.8327119e-06,1.0711519e-06,4.253161e-07,2.4639303e-07,8.082134e-08,3.8599246e-06,9.3079143e-07,8.4377825e-07,1.339773e-06,6.3157495e-07,1.662549e-06,3.939931e-08,1.7865386e-07,5.9029844e-08,6.478513e-08,1.6293052e-07,2.1684536e-07,1.12449925e-07,2.8448994e-09,2.3224129e-07,4.9051596e-07
