,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L182,2.3574103e-08,6.9048838e-09,3.856985e-08,2.6695488e-08,5.5442797e-09,5.631591e-09,9.313226e-10,1.3606041e-08,2.0991138e-08,2.0110747e-08,1.1277734e-09,2.8805516e-08,4.6391506e-08,1.1808879e-08,2.6077032e-08,7.450581e-09,1.4319085e-08,2.0809239e-08,1.128501e-08,2.1464075e-08,3.1737727e-08,5.448237e-08,1.7389539e-08,5.1004463e-09,1.1197699e-08,3.574678e-08,2.8609065e-08,1.8182618e-08,7.474591e-08,9.4813004e-08,1.7957063e-08,2.20316e-08,8.061761e-09,1.2201781e-08,1.3100362e-07,1.0776421e-07,4.802132e-10,2.7095666e-08,4.3422915e-08,1.751323e-08,1.3264071e-08,1.6647391e-08,3.3040124e-08,4.107278e-08,9.9222234e-08,9.23319e-09,8.418283e-09
L1863,2.6695488e-07,6.5076165e-08,3.631867e-07,1.2741657e-07,5.597685e-07,1.7212005e-07,4.22835e-07,7.8137964e-07,1.2810051e-07,3.0259253e-07,4.852627e-07,1.2633973e-07,1.9199797e-07,3.745663e-08,7.1240356e-07,5.2580435e-07,9.1629045e-07,1.3351382e-07,8.310599e-07,4.2139436e-07,8.00268e-07,2.4151814e-07,7.667404e-07,1.5260593e-07,3.79805e-09,5.785114e-07,5.10714e-07,1.6084232e-07,1.2967357e-06,8.9123205e-07,2.5976624e-07,5.232869e-07,9.903306e-07,5.2199175e-07,4.3355976e-07,8.10076e-07,6.8647205e-07,5.1630195e-08,1.0523072e-06,7.664348e-07,4.1970634e-07,7.593917e-07,7.8603625e-07,6.8568625e-07,4.9214577e-08,1.2698001e-07,1.5817932e-07
L1865,1.1641532e-10,2.910383e-11,1.6007107e-10,7.2759576e-11,2.4738256e-10,7.2759576e-11,1.891749e-10,3.4924597e-10,5.820766e-11,1.4551915e-10,2.1827873e-10,5.820766e-11,8.731149e-11,2.910383e-11,3.3469405e-10,2.6193447e-10,4.2200554e-10,7.2759576e-11,3.783498e-10,8.731149e-11,2.6193447e-10,1.1641532e-10,3.3469405e-10,7.2759576e-11,0.0,2.4738256e-10,2.1827873e-10,5.820766e-11,6.1118044e-10,4.2200554e-10,1.1641532e-10,2.3283064e-10,4.3655746e-10,2.3283064e-10,1.891749e-10,3.6379788e-10,3.2014214e-10,2.910383e-11,4.947651e-10,3.6379788e-10,1.891749e-10,3.4924597e-10,3.4924597e-10,2.910383e-10,2.910383e-11,7.2759576e-11,5.820766e-11
L199,5.8003934e-08,1.3555109e-08,7.5480784e-08,5.2190444e-08,1.0826625e-08,1.1008524e-08,1.9499566e-09,2.6768248e-08,4.107278e-08,3.9159204e-08,2.3792381e-09,5.625043e-08,9.054929e-08,2.2999302e-08,5.086622e-08,1.4610123e-08,2.807792e-08,4.0672603e-08,2.2024324e-08,4.2018655e-08,6.204209e-08,1.0643271e-07,3.394962e-08,1.3504177e-08,2.5589543e-08,5.1702955e-08,6.704067e-08,4.4536137e-08,1.4824764e-07,1.8686842e-07,3.5121047e-08,4.3102773e-08,1.5752448e-08,2.3981556e-08,2.5748886e-07,2.1195592e-07,1.02591e-09,5.296897e-08,8.4859494e-08,3.421883e-08,2.5916961e-08,3.2552634e-08,6.463961e-08,8.169445e-08,1.9540312e-07,1.8073479e-08,1.63418e-08
L2002,2.347224e-08,7.843482e-09,4.3641194e-08,3.0187948e-08,6.344635e-09,6.3082553e-09,1.0913936e-09,1.5439582e-08,2.3763278e-08,2.2766471e-08,1.3315002e-09,3.2494427e-08,5.2386895e-08,1.333683e-08,2.9467628e-08,8.411007e-09,1.6130798e-08,2.3479515e-08,1.2740202e-08,2.424349e-08,3.5863195e-08,6.15546e-08,1.960143e-08,9.073119e-09,1.6021659e-08,,,,,,,,,,,,,,,,,,,,,,
L2015,2.6194728e-05,2.1827873e-11,1.09139364e-10,6.548362e-11,1.4551915e-11,7.275958e-12,1.4551915e-11,5.820766e-11,6.548362e-11,5.0931703e-11,0.0,8.0035534e-11,1.2369128e-10,3.6379788e-11,6.548362e-11,2.1827873e-11,4.3655746e-11,6.548362e-11,4.3655746e-11,6.548362e-11,8.731149e-11,1.4551915e-10,3.5652192e-10,7.275958e-12,4.3655746e-11,8.731149e-11,9.458745e-11,6.548362e-11,1.7764978e-07,1.7771526e-07,4.3655746e-11,6.548362e-11,2.1827873e-11,4.3655746e-11,1.7822458e-07,1.781591e-07,0.0,6.548362e-11,1.09139364e-10,4.3655746e-11,4.3655746e-11,4.3655746e-11,8.0035534e-11,1.7747516e-07,1.7762795e-07,2.910383e-11,2.1827873e-11
L2027,2.7510396e-08,9.1895345e-09,5.1149982e-08,3.5397534e-08,7.4287527e-09,7.406925e-09,1.2441888e-09,1.8044375e-08,2.7837814e-08,2.671004e-08,1.5279511e-09,3.8096914e-08,6.141636e-08,1.5643309e-08,3.45608e-08,9.851647e-09,1.888111e-08,2.7524948e-08,1.4937541e-08,2.838351e-08,4.202593e-08,7.2170224e-08,2.3013854e-08,1.0688382e-08,1.877197e-08,4.076719e-08,4.954927e-08,3.357127e-08,1.2167584e-07,1.477747e-07,2.3726898e-08,2.9154762e-08,1.0688382e-08,1.6159902e-08,1.9593426e-07,1.6513513e-07,6.4028427e-10,3.5957783e-08,5.7552825e-08,2.3195753e-08,1.7542334e-08,2.2060703e-08,4.3837645e-08,7.6470315e-08,1.5359547e-07,1.2259989e-08,1.0921212e-08
L2035,1.8189894e-11,7.275958e-12,3.6379788e-11,2.5465852e-11,7.275958e-12,7.275958e-12,0.0,1.4551915e-11,1.8189894e-11,1.8189894e-11,0.0,2.5465852e-11,4.0017767e-11,7.275958e-12,2.910383e-11,1.0913936e-11,1.0913936e-11,1.0913936e-11,3.637979e-12,2.1827873e-11,3.274181e-11,5.0931703e-11,2.5465852e-11,0.0,1.4551915e-11,7.275958e-12,1.0913936e-11,7.275958e-12,5.4416887e-08,5.44278e-08,2.1827873e-11,1.8189894e-11,7.275958e-12,1.0913936e-11,5.4671546e-08,5.4649718e-08,3.637979e-12,2.5465852e-11,3.274181e-11,1.0913936e-11,1.0913936e-11,1.4551915e-11,3.274181e-11,5.4344127e-08,5.439506e-08,7.275958e-12,3.637979e-12
L270,6.030314e-08,1.4180841e-08,7.852941e-08,5.4191332e-08,1.1204975e-08,1.1445081e-08,2.219167e-09,2.8107024e-08,4.278263e-08,4.0512532e-08,2.6702764e-09,5.8418664e-08,9.4019924e-08,2.3857865e-08,5.272159e-08,1.5235855e-08,2.9271177e-08,4.2251486e-08,2.2897439e-08,4.383037e-08,6.4552296e-08,1.10543624e-07,3.5193807e-08,1.3773388e-08,2.6651833e-08,5.367474e-08,6.9594535e-08,4.618778e-08,1.5340629e-07,1.935332e-07,3.653986e-08,4.483445e-08,1.6305421e-08,2.5080226e-08,2.668021e-07,2.1934102e-07,1.207809e-09,5.515176e-08,8.817733e-08,3.5557605e-08,2.7008355e-08,3.3905962e-08,6.7200745e-08,8.398638e-08,2.0216976e-07,1.8830178e-08,1.7040293e-08
L301,1.4551915e-11,3.637979e-12,3.6379788e-11,2.5465852e-11,3.637979e-12,7.275958e-12,0.0,1.0913936e-11,1.4551915e-11,1.4551915e-11,3.637979e-12,2.1827873e-11,4.0017767e-11,1.4551915e-11,2.1827873e-11,1.0913936e-11,1.4551915e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,2.910383e-11,5.4569682e-11,2.1827873e-11,7.275958e-12,1.0913936e-11,2.5465852e-11,2.910383e-11,2.1827873e-11,6.91216e-11,8.731149e-11,1.4551915e-11,1.8189894e-11,7.275958e-12,7.275958e-12,1.1641532e-10,9.822543e-11,0.0,2.5465852e-11,4.0017767e-11,1.4551915e-11,1.4551915e-11,1.4551915e-11,2.5465852e-11,4.0017767e-11,9.094947e-11,7.275958e-12,1.0913936e-11
L333,4.8385118e-08,1.8146238e-08,1.00946636e-07,6.98783e-08,1.45082595e-08,1.4770194e-08,2.386514e-09,3.5535777e-08,5.493348e-08,5.2677933e-08,2.8230716e-09,7.534982e-08,1.2137752e-07,3.0908268e-08,6.824848e-08,1.9441359e-08,3.738387e-08,5.4380507e-08,2.9467628e-08,5.6112185e-08,8.304778e-08,1.4255056e-07,4.5620254e-08,9.560608e-09,2.5276677e-08,3.7063728e-08,6.276241e-08,3.805326e-08,5.005859e-07,5.5367127e-07,4.674075e-08,5.7421857e-08,2.0998414e-08,3.1941454e-08,6.486225e-07,5.8794103e-07,1.2369128e-09,7.0780516e-08,1.1338852e-07,4.573667e-08,3.463356e-08,4.339381e-08,8.6278305e-08,4.1314343e-07,5.650363e-07,2.4141627e-08,2.219167e-08
L351,1.0913936e-11,1.0913936e-11,4.3655746e-11,3.274181e-11,1.0913936e-11,3.637979e-12,0.0,1.4551915e-11,2.1827873e-11,2.1827873e-11,3.637979e-12,3.274181e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,7.275958e-12,1.0913936e-11,1.4551915e-11,3.637979e-12,1.4551915e-11,2.5465852e-11,4.7293724e-11,1.4551915e-11,0.0,0.0,0.0,1.0913936e-11,3.637979e-12,7.9999154e-08,8.002098e-08,1.8189894e-11,2.1827873e-11,3.637979e-12,1.4551915e-11,8.027928e-08,8.026109e-08,0.0,2.910383e-11,4.0017767e-11,1.0913936e-11,1.0913936e-11,3.637979e-12,2.5465852e-11,7.990457e-08,7.9959136e-08,1.0913936e-11,7.275958e-12
L37,1.8189894e-11,7.275958e-12,3.6379788e-11,2.5465852e-11,7.275958e-12,3.637979e-12,0.0,1.4551915e-11,2.1827873e-11,1.8189894e-11,0.0,2.5465852e-11,3.6379788e-11,1.0913936e-11,2.1827873e-11,1.0913936e-11,1.4551915e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,2.5465852e-11,5.0931703e-11,1.8189894e-11,3.637979e-12,7.275958e-12,7.275958e-12,2.1827873e-11,1.0913936e-11,6.91216e-11,9.094947e-11,1.0913936e-11,1.8189894e-11,7.275958e-12,1.0913936e-11,1.1641532e-10,9.822543e-11,0.0,2.5465852e-11,3.6379788e-11,1.4551915e-11,1.0913936e-11,1.4551915e-11,2.910383e-11,3.6379788e-11,8.731149e-11,1.0913936e-11,3.637979e-12
L392,1.4551915e-11,3.637979e-12,3.274181e-11,2.910383e-11,1.0913936e-11,7.275958e-12,0.0,1.0913936e-11,1.4551915e-11,1.4551915e-11,7.275958e-12,2.5465852e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,1.0913936e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,5.4569682e-11,1.8189894e-11,1.2732926e-10,1.0913936e-11,0.0,1.8189894e-11,3.637979e-12,3.8562575e-09,3.8744474e-09,2.1827873e-11,2.910383e-11,1.0913936e-11,1.4551915e-11,4.114554e-09,4.089088e-09,0.0,2.1827873e-11,4.7293724e-11,2.5465852e-11,1.0913936e-11,1.0913936e-11,2.5465852e-11,3.776222e-09,3.8271537e-09,0.0,1.4551915e-11
L410,5.0771632e-08,2.6775524e-08,1.5129626e-07,1.0538497e-07,2.188608e-08,2.2482709e-08,2.240995e-09,5.1397365e-08,8.182542e-08,8.0573955e-08,2.9540388e-09,1.1335942e-07,1.8288847e-07,4.67262e-08,1.0355143e-07,2.856541e-08,5.5122655e-08,8.162169e-08,4.415051e-08,8.294592e-08,1.2418604e-07,2.1466985e-07,6.952905e-08,6.0681487e-09,1.2514647e-08,1.3620593e-08,5.8673322e-08,2.9816874e-08,3.3612014e-07,4.1234307e-07,6.91507e-08,8.530333e-08,3.175228e-08,4.679896e-08,5.5442797e-07,4.6470086e-07,1.0622898e-09,1.0545773e-07,1.6954436e-07,6.808841e-08,5.1411917e-08,6.407208e-08,1.288281e-07,2.0350853e-07,4.3078035e-07,3.6045094e-08,3.5754056e-08
L432,1.0913936e-11,3.637979e-12,4.0017767e-11,2.910383e-11,7.275958e-12,3.637979e-12,0.0,1.0913936e-11,2.1827873e-11,2.1827873e-11,0.0,3.274181e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,1.0913936e-11,7.275958e-12,1.8189894e-11,2.910383e-11,5.0931703e-11,1.0913936e-11,3.637979e-12,0.0,7.275958e-12,1.8189894e-11,3.637979e-12,6.094706e-08,6.096889e-08,1.8189894e-11,1.8189894e-11,0.0,1.0913936e-11,6.123446e-08,6.121991e-08,0.0,2.910383e-11,4.3655746e-11,2.1827873e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,6.0863385e-08,6.091432e-08,7.275958e-12,1.0913936e-11
L439,1.4500984e-07,4.9360096e-08,2.7552596e-07,1.9109575e-07,3.943569e-08,4.0890882e-08,5.2386895e-09,9.57225e-08,1.4936086e-07,1.4535908e-07,6.9558155e-09,2.0505104e-07,3.319292e-07,8.534698e-08,1.8706487e-07,5.20522e-08,9.9928e-08,1.481676e-07,8.048664e-08,1.5131081e-07,2.25642e-07,3.8920552e-07,1.2527744e-07,2.1231244e-08,1.9877916e-08,4.5038178e-08,1.08455424e-07,5.651964e-08,7.925555e-07,9.3154085e-07,1.2524833e-07,1.546723e-07,5.727634e-08,8.572533e-08,1.1884404e-06,1.0250369e-06,2.6338967e-09,1.9231811e-07,3.0775846e-07,1.2718374e-07,9.300129e-08,1.1641532e-07,2.340239e-07,5.5100827e-07,9.636715e-07,6.5905624e-08,7.060589e-08
L468,1.8189894e-11,1.0913936e-11,3.6379788e-11,2.1827873e-11,0.0,7.275958e-12,0.0,1.0913936e-11,1.4551915e-11,1.4551915e-11,7.275958e-12,2.1827873e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,0.0,1.0913936e-11,2.1827873e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,5.4569682e-11,2.1827873e-11,7.275958e-12,7.275958e-12,0.0,1.0913936e-11,1.0913936e-11,4.3550244e-08,4.357571e-08,1.0913936e-11,1.8189894e-11,7.275958e-12,1.0913936e-11,4.3801265e-08,4.37758e-08,0.0,2.1827873e-11,4.0017767e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,3.274181e-11,4.3473847e-08,4.3528416e-08,1.0913936e-11,3.637979e-12
L581,2.3734174e-08,9.429641e-09,5.245238e-08,3.6365236e-08,7.566996e-09,7.676135e-09,1.1496013e-09,1.8328137e-08,2.8507202e-08,2.7495844e-08,1.3387762e-09,3.918103e-08,6.314076e-08,1.6094418e-08,3.5543053e-08,1.00480975e-08,1.9346771e-08,2.825982e-08,1.5301339e-08,2.906745e-08,4.314643e-08,7.414201e-08,2.3770554e-08,4.0527084e-09,1.1990778e-08,1.4922989e-08,2.966408e-08,1.7505954e-08,2.010056e-07,2.2874156e-07,2.4214387e-08,2.9780495e-08,1.0935764e-08,1.6516424e-08,2.7802162e-07,2.4657493e-07,5.8935257e-10,3.6750862e-08,5.88916e-08,2.374145e-08,1.7957063e-08,2.2482709e-08,4.479807e-08,1.5584374e-07,2.3474422e-07,1.2536475e-08,1.1539669e-08
L601,1.4551915e-11,7.275958e-12,3.274181e-11,2.1827873e-11,7.275958e-12,0.0,3.637979e-12,1.4551915e-11,2.1827873e-11,1.8189894e-11,0.0,2.5465852e-11,4.3655746e-11,1.4551915e-11,2.5465852e-11,1.0913936e-11,1.4551915e-11,1.4551915e-11,7.275958e-12,2.1827873e-11,2.910383e-11,4.7293724e-11,1.4551915e-11,0.0,1.0913936e-11,3.637979e-12,1.4551915e-11,1.0913936e-11,7.311246e-08,7.313065e-08,1.8189894e-11,2.1827873e-11,7.275958e-12,1.4551915e-11,7.3319825e-08,7.3298e-08,0.0,2.910383e-11,4.0017767e-11,1.4551915e-11,7.275958e-12,1.0913936e-11,2.910383e-11,7.304698e-08,7.309791e-08,3.637979e-12,1.4551915e-11
L708,2.032175e-08,9.313226e-09,5.2175892e-08,3.6263373e-08,7.545168e-09,7.697963e-09,9.313226e-10,1.796434e-08,2.82962e-08,2.7583155e-08,1.1568773e-09,3.904279e-08,6.297341e-08,1.6065314e-08,3.5557605e-08,9.924406e-09,1.9135769e-08,2.815068e-08,1.5235855e-08,2.876186e-08,4.2884494e-08,7.391645e-08,2.3828761e-08,4.3437467e-09,7.741619e-09,2.9467628e-09,2.2322638e-08,1.1830707e-08,1.03253115e-07,1.3236422e-07,2.397428e-08,2.9525836e-08,1.0921212e-08,1.6276317e-08,1.8128776e-07,1.5017577e-07,4.656613e-10,3.6474376e-08,5.854963e-08,2.3537723e-08,1.7804268e-08,2.2235326e-08,4.451431e-08,6.009941e-08,1.3856334e-07,1.2463715e-08,1.1459633e-08
L794,5.47152e-09,2.9831426e-09,1.6996637e-08,1.1859811e-08,2.4883775e-09,2.7066562e-09,1.3969839e-09,4.4092303e-09,8.381903e-09,9.546056e-09,3.2014214e-10,1.375156e-08,2.120214e-08,4.7293724e-09,1.299486e-08,4.7293724e-09,8.803909e-09,1.1088559e-08,4.947651e-09,9.618816e-09,1.5075784e-08,2.6877387e-08,8.090865e-09,0.0001466369,2.0952342e-05,1.6589183e-09,9.720679e-09,4.9185473e-09,8.84099e-05,4.8428774e-08,8.58563e-09,1.05646905e-08,3.958121e-09,5.7334546e-09,6.5978384e-08,5.4918928e-08,8.731149e-11,1.2980308e-08,2.0954758e-08,8.527422e-09,6.373739e-09,7.887138e-09,1.5861588e-08,2.2700988e-08,5.075708e-08,4.4237822e-09,4.5693014e-09
L795,1.7229468e-08,9.19681e-09,5.2328687e-08,3.6437996e-08,7.566996e-09,7.712515e-09,7.566996e-10,1.7753337e-08,2.8288923e-08,2.773595e-08,1.1641532e-09,3.9377483e-08,6.338814e-08,1.618173e-08,3.5826815e-08,1.00408215e-08,1.9354047e-08,2.8376235e-08,1.5308615e-08,2.8929207e-08,4.316098e-08,7.436029e-08,2.401066e-08,0.00014706913,2.693139e-05,2.6921043e-10,1.7826096e-09,9.677024e-10,8.838265e-05,2.4127075e-08,4.3364707e-09,5.355105e-09,1.9790605e-09,2.9831426e-09,3.2989192e-08,2.7299393e-08,1.1641532e-10,6.6356733e-09,1.0608346e-08,4.321919e-09,3.2305252e-09,4.0308805e-09,8.090865e-09,1.0972144e-08,2.5218469e-08,2.2700988e-09,2.3283064e-09
L817,1.0913936e-11,0.0,3.274181e-11,2.1827873e-11,7.275958e-12,0.0,0.0,1.8189894e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,2.1827873e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,3.637979e-12,1.0913936e-11,1.8189894e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,5.4569682e-11,2.1827873e-11,1.0913936e-11,7.275958e-12,7.275958e-12,1.0913936e-11,1.0913936e-11,7.2759576e-11,9.458745e-11,1.0913936e-11,1.0913936e-11,7.275958e-12,3.637979e-12,1.2732926e-10,1.1277734e-10,7.275958e-12,2.1827873e-11,4.3655746e-11,2.1827873e-11,1.4551915e-11,1.4551915e-11,2.5465852e-11,4.7293724e-11,9.458745e-11,3.637979e-12,7.275958e-12
L838,4.3655746e-11,1.0913936e-11,3.6379788e-11,2.5465852e-11,3.637979e-12,7.275958e-12,3.637979e-12,1.4551915e-11,1.4551915e-11,1.4551915e-11,6.541086e-09,5.8789738e-09,4.3655746e-11,1.4551915e-11,2.1827873e-11,7.275958e-12,1.0913936e-11,1.4551915e-11,1.0913936e-11,2.1827873e-11,2.910383e-11,5.0931703e-11,1.8189894e-11,3.6379788e-11,3.5270205e-08,3.274181e-11,3.1188392e-08,2.1063897e-09,1.8177525e-07,1.8076025e-07,1.0913936e-11,2.1827873e-11,3.637979e-12,1.0913936e-11,1.81004e-07,1.8098217e-07,3.637979e-12,1.8189894e-11,3.274181e-11,2.0008883e-10,1.4551915e-11,1.4551915e-11,3.274181e-11,1.8066567e-07,1.8071296e-07,7.275958e-12,3.274181e-10
L979,3.2625394e-08,1.0521035e-08,5.8753358e-08,4.069443e-08,8.461939e-09,8.578354e-09,1.375156e-09,2.0641892e-08,3.1956006e-08,3.0682713e-08,1.6734703e-09,4.390313e-08,7.070048e-08,1.7993443e-08,3.976311e-08,1.1328666e-08,2.1798769e-08,3.1708623e-08,1.7374987e-08,3.271998e-08,4.820322e-08,8.2807674e-08,2.663728e-08,7.9744495e-09,1.6800186e-08,3.194873e-08,4.3030013e-08,2.7277565e-08,4.0375016e-07,4.343383e-07,2.7292117e-08,3.3505785e-08,1.22672645e-08,1.8560968e-08,4.898757e-07,4.5451452e-07,7.1304385e-10,4.1232852e-08,6.6102075e-08,2.6659109e-08,2.0168955e-08,2.530578e-08,5.029142e-08,3.5245466e-07,4.4098852e-07,1.4042598e-08,1.2812961e-08
L998,1.6734703e-08,9.444193e-09,5.3849362e-08,3.758032e-08,7.82893e-09,7.996277e-09,6.330083e-10,1.8095307e-08,2.9060175e-08,2.8718205e-08,1.0404619e-09,4.0527084e-08,6.5294444e-08,1.668377e-08,3.696914e-08,1.02227204e-08,1.9768777e-08,2.917659e-08,1.5701517e-08,2.9576768e-08,4.4354238e-08,7.662311e-08,2.4883775e-08,4.9258233e-09,6.6502253e-09,6.0754246e-09,2.1864253e-08,1.1277734e-08,1.7934508e-07,2.0743028e-07,2.4709152e-08,3.0464435e-08,1.1386874e-08,1.6625563e-08,2.583838e-07,2.2642052e-07,3.2014214e-10,3.758032e-08,6.053597e-08,2.4861947e-08,1.8357241e-08,2.2839231e-08,4.593312e-08,1.3305544e-07,2.1413143e-07,1.2834789e-08,1.3627869e-08
L1876,3.313071e-06,1.4662728e-06,9.725627e-07,1.6108388e-06,3.7956415e-06,9.604264e-08,1.0957156e-06,2.6558337e-06,1.064167e-06,5.005422e-07,9.852301e-07,2.6862836e-08,5.2291143e-06,2.009554e-06,7.175513e-06,5.330672e-06,5.5044875e-06,2.2937093e-06,6.7173605e-06,8.0128666e-07,3.8929284e-06,3.5336343e-06,4.1836174e-06,1.1043521e-06,6.9207454e-07,3.233261e-06,2.8165523e-06,9.159121e-07,1.1846292e-05,4.784284e-06,1.0353688e-08,2.9654839e-06,6.611852e-06,3.2841563e-06,3.1279706e-06,3.3280157e-06,3.131252e-06,4.4818444e-07,7.686191e-06,4.4963235e-06,3.627727e-06,3.3381584e-06,5.1678435e-06,7.1655013e-06,4.178728e-07,1.2901728e-06,5.143811e-07
L1589,2.3139e-07,2.8735667e-07,4.7840877e-07,2.1929736e-08,5.9069134e-07,3.2552634e-08,3.558016e-07,7.212366e-07,1.728622e-07,1.9084109e-07,2.3168832e-07,9.278301e-08,6.7651854e-08,2.1226151e-07,6.836999e-07,8.706993e-07,1.8113351e-06,1.5560363e-07,1.7543789e-06,4.0093437e-07,5.058246e-07,1.3371755e-06,4.6204514e-07,3.985042e-08,9.374344e-08,4.579706e-07,1.6593549e-07,2.6672933e-07,8.747229e-07,7.5071875e-07,9.512587e-08,4.271642e-07,8.583884e-07,3.9603765e-07,2.749657e-07,6.6489883e-07,5.6152203e-07,6.146729e-08,7.3919364e-07,7.538547e-07,3.8354483e-07,2.0484731e-07,2.0662992e-07,1.196604e-07,5.676702e-08,5.1557436e-08,4.7584763e-08
L1777,1.727842e-05,5.608541e-06,1.47302635e-05,5.5994024e-06,3.205688e-05,1.7251412e-05,2.8826122e-05,4.768459e-05,1.3364479e-05,1.12901325e-05,1.6785227e-05,1.3133977e-06,1.8949504e-06,1.4032237e-05,2.6841648e-05,1.36084855e-05,2.6850146e-05,7.397204e-06,1.3588928e-05,1.013279e-05,1.3734505e-05,3.9784878e-05,2.5769696e-06,7.861061e-06,3.2662647e-06,2.2290566e-05,5.1074894e-06,1.701439e-05,1.6154256e-05,2.0597945e-05,3.085588e-06,1.64659e-05,2.6996247e-05,1.1307246e-05,9.851181e-06,2.6579946e-05,1.7919112e-05,7.664203e-06,9.616371e-06,1.3677403e-05,9.728246e-06,2.5447109e-05,2.9007031e-05,0.00018125196,0.00016946171,1.33172725e-05,6.7175715e-06
L1940,8.071453e-06,2.0861626e-07,1.1467782e-06,8.092902e-07,1.5628757e-07,1.7721322e-07,9.604264e-09,3.6368147e-07,6.0061575e-07,6.055343e-07,1.7462298e-10,8.556235e-07,1.3635436e-06,3.4470577e-07,7.8891753e-07,2.1568849e-07,4.0102168e-07,5.9604645e-07,3.2156822e-07,6.02362e-07,9.2200935e-07,1.6028353e-06,5.243928e-07,6.76082e-08,8.067582e-08,2.0119478e-07,4.163303e-07,2.462766e-07,1.0761723e-06,1.6661652e-06,4.930189e-07,6.161863e-07,2.3984467e-07,3.4607365e-07,2.7423375e-06,2.0817388e-06,5.7625584e-09,7.902854e-07,1.2546952e-06,4.931353e-07,3.8644066e-07,4.5416527e-07,9.534124e-07,1.2287637e-07,1.8195133e-06,2.8283102e-07,2.872548e-07
L2005,6.40066e-08,2.1376763e-08,1.1899829e-07,8.234929e-08,1.731678e-08,1.720764e-08,2.9467628e-09,4.2040483e-08,6.4770575e-08,6.211485e-08,3.587047e-09,8.8635716e-08,1.4288526e-07,3.6379788e-08,8.0392056e-08,2.2941094e-08,4.3975888e-08,6.404298e-08,3.475725e-08,6.608752e-08,9.778887e-08,1.6789272e-07,5.3507392e-08,2.480374e-08,4.3670298e-08,9.738142e-08,1.15273e-07,7.812196e-08,3.9631414e-07,4.5703928e-07,5.522452e-08,6.786286e-08,2.4876499e-08,3.7609425e-08,5.689726e-07,4.972826e-07,1.5061232e-09,8.369534e-08,1.3392855e-07,5.4002157e-08,4.0825398e-08,5.1360985e-08,1.02008926e-07,2.9108196e-07,4.7055073e-07,2.8543582e-08,2.541492e-08
L2018,8.504867e-08,1.242006e-08,6.8961526e-08,4.7693902e-08,1.0011718e-08,9.975338e-09,1.7462298e-09,2.442539e-08,3.7551217e-08,3.5935955e-08,2.1318556e-09,5.131733e-08,8.274219e-08,2.1056621e-08,4.65443e-08,1.3293175e-08,2.5473128e-08,3.7085556e-08,2.0132575e-08,3.8307917e-08,5.6657882e-08,9.724317e-08,3.1002855e-08,1.43263605e-08,2.5298505e-08,5.4926204e-08,6.673508e-08,4.5227353e-08,1.9260187e-07,2.2776658e-07,3.1992386e-08,3.9304723e-08,1.4384568e-08,2.1835149e-08,2.9258808e-07,2.510278e-07,9.0221874e-10,4.8479706e-08,7.7547156e-08,3.126479e-08,2.3654138e-08,2.975139e-08,5.9088052e-08,1.3159297e-07,2.3553002e-07,1.6530976e-08,1.474109e-08
L217,6.095797e-08,1.1910743e-08,6.6189386e-08,4.577305e-08,9.509677e-09,9.655196e-09,1.6661943e-09,2.3414032e-08,3.6008714e-08,3.4437107e-08,2.0154403e-09,4.933827e-08,7.944618e-08,2.0198058e-08,4.4652552e-08,1.27838575e-08,2.4556357e-08,3.5644916e-08,1.9310392e-08,3.6794518e-08,5.439506e-08,9.335781e-08,2.9795046e-08,1.2179953e-08,2.2635504e-08,4.586036e-08,5.9517333e-08,3.9675797e-08,1.3042882e-07,1.643275e-07,3.0719093e-08,3.7754944e-08,1.38170435e-08,2.0976586e-08,2.2628956e-07,1.8639548e-07,8.8039087e-10,4.6464265e-08,7.440394e-08,2.998422e-08,2.271554e-08,2.8514478e-08,5.6665158e-08,7.211929e-08,1.7182902e-07,1.5847036e-08,1.4275429e-08
