,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L425,2.6702764e-09,4.3291948e-10,2.2191671e-10,2.2555469e-10,1.2245437e-08,1.0186341e-10,1.1888915e-08,1.1979864e-08,1.2089004e-08,1.4551915e-10,2.2919266e-10,1.0913936e-11,3.1650416e-10,3.783498e-10,2.728484e-10,2.3355824e-09,4.2564352e-10,4.765752e-10,6.548362e-11,4.2200554e-10,1.891749e-10,2.062734e-09,2.5283953e-09,1.3315002e-09,4.7293724e-11,2.5465852e-11,3.6379788e-11,1.7462298e-10,2.910383e-11,5.16593e-10,3.237801e-10,8.731149e-11,2.401066e-10,4.0017767e-11,1.7826096e-10,3.092282e-10,7.6397555e-11,7.275958e-12,5.0931703e-11,6.184564e-11,1.2732926e-10,7.6397555e-11
L427,1.1146767e-07,9.487849e-09,4.3248292e-08,2.195884e-08,5.2030373e-08,2.7102942e-08,8.374627e-09,3.3796823e-08,9.5242285e-09,6.5847416e-09,2.4541805e-08,3.950845e-09,1.41590135e-08,2.401066e-09,4.7133653e-08,4.0330633e-08,7.836206e-09,2.048182e-08,2.2591848e-08,5.4867996e-08,2.7117494e-08,1.8138962e-08,1.765875e-08,7.588824e-09,7.348717e-10,1.382432e-10,2.7313945e-08,3.4437107e-08,1.0339136e-08,2.5058398e-08,8.4983185e-09,7.923518e-09,1.4653779e-08,3.0464435e-08,1.375156e-08,1.690205e-08,1.4406396e-09,3.0180672e-08,5.9590093e-09,8.520146e-09,3.1504896e-09,4.663889e-08
L56,1.384069e-07,4.143658e-09,9.495852e-08,9.4827556e-08,1.8364881e-07,1.6734703e-10,2.257184e-07,2.2603854e-07,1.8357605e-07,3.0559022e-10,3.3469405e-10,3.601599e-10,4.2200554e-10,6.148184e-10,4.3204636e-08,1.7218554e-08,2.0372681e-10,7.9671736e-10,4.4019544e-10,1.0273652e-07,1.0188887e-07,1.0477379e-08,6.337359e-08,6.530172e-09,3.3469405e-10,3.5288394e-10,4.318281e-09,5.493348e-09,5.311449e-10,9.698488e-08,1.0114309e-07,1.5474143e-07,5.5297278e-08,1.5176556e-07,5.335096e-08,1.6334525e-09,9.853102e-08,9.8229066e-08,1.13188435e-07,5.4205884e-10,1.4624675e-09,2.1055166e-07
L636,4.765752e-10,5.0931703e-11,1.382432e-10,6.548362e-11,1.3460522e-10,8.367351e-11,1.4551915e-11,7.6397555e-11,3.637979e-12,2.1827873e-11,7.6397555e-11,1.4551915e-11,4.3655746e-11,3.637979e-12,1.4551915e-10,1.1641532e-10,2.5465852e-11,6.184564e-11,6.91216e-11,1.70985e-10,8.0035534e-11,4.3655746e-11,1.200533e-10,5.4569682e-11,7.275958e-12,0.0,8.731149e-11,1.09139364e-10,4.0017767e-11,7.2759576e-11,2.910383e-11,1.4551915e-11,4.7293724e-11,9.458745e-11,4.3655746e-11,5.4569682e-11,3.637979e-12,9.822543e-11,1.8189894e-11,2.1827873e-11,1.0913936e-11,1.4188117e-10
L663,1.0317672e-07,7.95626e-09,3.2752723e-08,1.6567355e-08,3.6314304e-08,2.048182e-08,8.731149e-11,2.1576852e-08,3.1213858e-09,5.0822564e-09,1.8855644e-08,3.0231604e-09,1.0866643e-08,1.7935236e-09,3.5957783e-08,3.0395313e-08,5.999027e-09,1.5756086e-08,1.7305865e-08,4.177491e-08,2.0336302e-08,3.8635335e-09,7.195922e-09,3.983587e-09,5.020411e-10,1.05501385e-10,2.12749e-08,2.689194e-08,8.087227e-09,1.916851e-08,7.708877e-09,4.2200554e-09,1.1201337e-08,2.3155735e-08,1.0499207e-08,1.3154931e-08,1.4770194e-09,2.3213943e-08,4.2018655e-09,6.690243e-09,2.4374458e-09,3.560126e-08
L664,1.1459633e-09,2.7685019e-09,1.8189894e-10,1.70985e-10,1.2551027e-09,1.0186341e-10,8.9858077e-10,1.0004442e-09,1.0440999e-09,8.731149e-11,1.200533e-10,1.0913936e-11,2.2191671e-10,2.4374458e-10,2.2555469e-10,9.276846e-10,2.910383e-11,7.6397555e-11,7.6397555e-11,1.9645086e-10,9.822543e-11,3.3469405e-10,5.311449e-10,3.45608e-10,1.8189894e-11,2.1827873e-11,5.4569682e-11,7.2759576e-11,0.0,3.601599e-10,2.401066e-10,8.731149e-11,1.382432e-10,5.4569682e-11,1.05501385e-10,2.2191671e-10,5.820766e-11,2.5465852e-11,3.274181e-11,5.4569682e-11,8.731149e-11,0.0
L723,3.1905074e-09,3.1650416e-10,1.891749e-10,1.7462298e-10,2.2115273e-08,9.458745e-11,2.1642336e-08,2.17442e-08,2.1791493e-08,8.731149e-11,1.2369128e-10,1.0913936e-11,2.2555469e-10,2.4738256e-10,2.2555469e-10,1.546141e-09,2.8012437e-10,3.274181e-10,6.91216e-11,3.3469405e-10,1.5279511e-10,1.036824e-09,1.0695658e-09,6.039045e-10,3.637979e-12,2.1827873e-11,5.4569682e-11,7.6397555e-11,3.637979e-12,3.6743586e-10,2.728484e-10,1.9281288e-10,1.4188117e-10,5.4569682e-11,1.05501385e-10,2.2555469e-10,5.820766e-11,2.5465852e-11,4.0017767e-11,5.0931703e-11,9.094947e-11,7.275958e-12
L759,1.4626858e-07,1.2070814e-08,5.6708814e-08,2.8558134e-08,5.9175363e-08,3.540481e-08,1.1714292e-09,3.5157427e-08,3.0413503e-09,8.883944e-09,3.271998e-08,5.1950337e-09,1.8299033e-08,2.6775524e-09,6.184564e-08,5.0124072e-08,9.822543e-09,2.6484486e-08,2.9736839e-08,7.1842805e-08,3.536843e-08,1.9572326e-08,1.625449e-08,6.53381e-09,6.91216e-10,1.382432e-10,3.612513e-08,4.5853085e-08,1.3744284e-08,3.2385287e-08,1.1190423e-08,9.815267e-09,1.9630534e-08,3.999594e-08,1.8320861e-08,2.1980668e-08,1.9645086e-09,3.9843144e-08,7.6324795e-09,1.1219527e-08,4.0017767e-09,6.148912e-08
L760,4.1472958e-10,3.274181e-11,1.6007107e-10,7.2759576e-11,1.6734703e-10,1.0186341e-10,0.0,1.0186341e-10,1.0913936e-11,2.1827873e-11,8.731149e-11,1.0913936e-11,5.4569682e-11,1.0913936e-11,1.70985e-10,1.382432e-10,2.1827873e-11,6.548362e-11,8.731149e-11,2.0008883e-10,1.0186341e-10,5.4569682e-11,4.3655746e-11,2.1827873e-11,3.637979e-12,3.637979e-12,9.822543e-11,1.200533e-10,4.7293724e-11,8.731149e-11,3.274181e-11,2.1827873e-11,4.3655746e-11,1.1641532e-10,4.7293724e-11,6.91216e-11,1.0913936e-11,1.1277734e-10,1.4551915e-11,4.0017767e-11,1.0913936e-11,1.7826096e-10
L764,4.110916e-10,2.910383e-11,1.6007107e-10,8.367351e-11,1.6007107e-10,9.458745e-11,7.275958e-12,1.0186341e-10,1.0913936e-11,2.1827873e-11,8.731149e-11,1.8189894e-11,4.7293724e-11,7.275958e-12,1.70985e-10,1.4188117e-10,2.910383e-11,7.6397555e-11,8.367351e-11,2.0008883e-10,1.0186341e-10,5.4569682e-11,4.3655746e-11,2.1827873e-11,0.0,0.0,9.822543e-11,1.2732926e-10,3.6379788e-11,9.094947e-11,2.910383e-11,2.910383e-11,6.184564e-11,1.09139364e-10,5.4569682e-11,6.184564e-11,7.275958e-12,1.09139364e-10,2.910383e-11,3.274181e-11,0.0,1.6370905e-10
L765,4.110916e-10,3.274181e-11,1.5643309e-10,8.731149e-11,1.5643309e-10,9.094947e-11,3.637979e-12,9.458745e-11,1.0913936e-11,2.1827873e-11,8.731149e-11,1.4551915e-11,5.0931703e-11,1.0913936e-11,1.7826096e-10,1.4551915e-10,3.274181e-11,7.6397555e-11,8.731149e-11,2.0008883e-10,1.0186341e-10,5.4569682e-11,4.3655746e-11,2.1827873e-11,0.0,0.0,9.822543e-11,1.200533e-10,4.7293724e-11,8.731149e-11,3.274181e-11,2.5465852e-11,5.4569682e-11,1.1641532e-10,5.4569682e-11,6.184564e-11,3.637979e-12,1.1277734e-10,2.1827873e-11,3.274181e-11,1.0913936e-11,1.7826096e-10
L789,4.3291948e-10,3.274181e-11,5.529728e-10,9.094947e-11,1.6007107e-10,9.822543e-11,7.275958e-12,1.0186341e-10,1.4551915e-11,2.1827873e-11,9.094947e-11,1.4551915e-11,5.0931703e-11,1.0913936e-11,1.7826096e-10,1.4551915e-10,2.910383e-11,7.2759576e-11,9.094947e-11,1.9645086e-10,1.0186341e-10,5.4569682e-11,4.3655746e-11,2.1827873e-11,0.0,0.0,9.822543e-11,1.2732926e-10,4.0017767e-11,8.731149e-11,3.274181e-11,3.274181e-11,6.184564e-11,1.05501385e-10,5.0931703e-11,6.184564e-11,7.275958e-12,1.1641532e-10,1.0913936e-11,3.274181e-11,1.0913936e-11,1.6734703e-10
L804,4.0745363e-10,3.6379788e-11,1.5643309e-10,8.367351e-11,1.70985e-10,1.05501385e-10,3.637979e-12,1.05501385e-10,1.0913936e-11,2.910383e-11,9.822543e-11,7.275958e-12,6.184564e-11,3.637979e-12,1.70985e-10,1.3096724e-10,2.910383e-11,7.2759576e-11,8.367351e-11,2.0372681e-10,9.822543e-11,5.820766e-11,4.3655746e-11,2.1827873e-11,0.0,0.0,1.0186341e-10,1.3096724e-10,3.6379788e-11,9.094947e-11,3.6379788e-11,3.6379788e-11,5.820766e-11,1.09139364e-10,4.3655746e-11,6.548362e-11,1.0913936e-11,1.09139364e-10,2.1827873e-11,3.274181e-11,7.275958e-12,1.70985e-10
L982,1.4406396e-09,5.0567905e-10,2.4374458e-10,2.5465852e-10,3.184323e-08,1.09139364e-10,3.146124e-08,3.1559466e-08,3.1719537e-08,1.8189894e-10,2.9831426e-10,3.637979e-12,3.929017e-10,4.7293724e-10,3.092282e-10,2.8485374e-09,5.16593e-10,5.675247e-10,6.184564e-11,4.8748916e-10,2.1464075e-10,2.4519977e-09,3.0522642e-09,1.5970727e-09,6.548362e-11,3.274181e-11,2.1827873e-11,2.4374458e-10,4.3655746e-11,6.330083e-10,3.965397e-10,1.9863364e-09,1.7680577e-09,2.1827873e-11,2.401066e-10,3.8198777e-10,1.09139364e-10,4.0017767e-11,5.820766e-11,6.91216e-11,1.6370905e-10,1.2732926e-10
L983,1.4515535e-09,5.16593e-10,2.401066e-10,2.6557245e-10,3.9224687e-08,1.09139364e-10,3.8849976e-08,3.89482e-08,3.909372e-08,1.7826096e-10,2.8740033e-10,0.0,3.8926373e-10,4.4019544e-10,2.9831426e-10,2.732122e-09,4.8748916e-10,5.347829e-10,6.91216e-11,4.656613e-10,2.1100277e-10,2.4992914e-09,3.1577656e-09,1.6480044e-09,6.548362e-11,3.274181e-11,3.274181e-11,2.3283064e-10,3.274181e-11,6.039045e-10,3.7107384e-10,8.774805e-09,8.571078e-09,1.4551915e-11,2.3283064e-10,3.6379788e-10,9.822543e-11,2.5465852e-11,4.7293724e-11,8.0035534e-11,1.4188117e-10,1.1641532e-10
L984,5.4878983e-06,5.529728e-10,2.4374458e-10,2.8376235e-10,3.4240657e-08,1.09139364e-10,3.3851393e-08,3.394962e-08,3.4113327e-08,1.8553692e-10,3.2014214e-10,7.275958e-12,4.0381565e-10,4.8748916e-10,2.9831426e-10,2.9467628e-09,5.347829e-10,5.820766e-10,6.91216e-11,4.9112714e-10,2.2191671e-10,2.6993803e-09,3.423338e-09,1.7826096e-09,6.548362e-11,3.274181e-11,1.4551915e-11,2.6193447e-10,4.3655746e-11,6.4392225e-10,4.0017767e-10,5.1986717e-09,4.976755e-09,1.0913936e-11,2.5465852e-10,3.929017e-10,1.09139364e-10,4.3655746e-11,5.0931703e-11,7.6397555e-11,1.6734703e-10,1.382432e-10
L1139,3.8198777e-10,4.0017767e-11,1.6007107e-10,8.367351e-11,1.7826096e-10,1.05501385e-10,7.275958e-12,1.05501385e-10,1.0913936e-11,2.910383e-11,9.094947e-11,2.1827873e-11,5.4569682e-11,7.275958e-12,1.8553692e-10,1.4551915e-10,3.274181e-11,7.6397555e-11,8.367351e-11,2.1827873e-10,9.822543e-11,6.548362e-11,4.3655746e-11,2.5465852e-11,0.0,0.0,1.0186341e-10,1.3460522e-10,3.274181e-11,9.822543e-11,3.274181e-11,3.274181e-11,5.4569682e-11,1.2369128e-10,5.820766e-11,6.548362e-11,7.275958e-12,1.1641532e-10,2.1827873e-11,3.274181e-11,1.4551915e-11,1.8189894e-10
L1684,4.5575143e-07,7.093913e-07,1.4406396e-07,1.0874646e-07,9.265641e-07,7.1394606e-07,1.8540304e-06,8.1784674e-07,3.5695848e-08,2.2631139e-07,1.0810618e-07,4.6026253e-07,2.1251617e-07,7.671915e-07,1.1689262e-06,5.423208e-07,1.2071396e-06,3.1272066e-07,4.0208397e-07,1.0215736e-06,2.6890484e-07,7.1304385e-08,8.231e-07,8.2395854e-07,2.4786277e-07,2.0048174e-07,4.7608046e-07,5.779002e-07,1.5055411e-07,6.801274e-07,1.169974e-07,1.6269041e-08,7.64383e-07,6.2046456e-07,4.4521585e-07,5.7619764e-07,9.853538e-07,1.3043464e-06,5.062175e-07,1.1760858e-06,8.997886e-07,5.594484e-07
L644,1.881519e-06,1.7601997e-07,5.4571865e-07,2.8549402e-07,6.1484025e-07,3.1202944e-07,5.2619725e-08,3.8887083e-07,1.0521762e-07,7.914787e-08,2.9050716e-07,4.5780325e-08,1.6342528e-07,2.381421e-08,5.486727e-07,4.4763146e-07,8.855568e-08,2.3769826e-07,2.6277849e-07,6.674891e-07,3.3969263e-07,9.3386916e-08,3.6915299e-07,1.7377897e-07,1.7593266e-08,1.542503e-09,3.3015385e-07,4.194735e-07,1.25714e-07,3.1846866e-07,1.4886609e-07,1.2259989e-07,2.0965672e-07,3.846144e-07,1.6371632e-07,2.0087464e-07,4.089088e-09,3.8656435e-07,1.0016083e-07,1.0300573e-07,3.549212e-08,6.126429e-07
L1929,1.4562356e-06,1.6119702e-06,5.992879e-07,8.821735e-08,2.3664907e-06,3.2192365e-06,6.83697e-06,3.5768971e-06,2.549168e-07,1.0869626e-06,2.5066074e-06,2.6213456e-07,1.0471995e-06,2.2434651e-06,3.288762e-06,1.4690668e-06,5.7842044e-07,1.333814e-06,1.4706202e-06,1.350083e-06,2.0470179e-07,1.1240845e-06,2.0913067e-06,2.6005546e-06,1.40677e-07,8.3645136e-07,1.7986094e-06,2.2088789e-06,5.4921475e-07,1.5217847e-06,3.2686512e-07,1.3481149e-06,1.2929922e-06,3.173045e-08,1.0865006e-06,1.5606565e-07,4.311878e-06,5.5843775e-06,1.089411e-06,5.1749485e-06,6.2879844e-06,6.5733257e-06
L3179,6.807313e-07,4.2535248e-07,4.6555942e-07,6.004848e-08,1.2573e-06,7.652634e-07,8.9364767e-07,4.822941e-07,1.5333353e-07,3.223904e-07,8.743227e-07,9.378709e-09,5.302718e-08,4.9182563e-07,1.0051299e-06,8.145216e-07,1.2302407e-06,8.757197e-07,3.0651427e-07,1.3436293e-06,2.4273322e-07,1.7589628e-07,8.694842e-07,7.662602e-07,1.2457895e-07,8.3578925e-08,1.7114508e-07,4.2867032e-07,2.5484042e-07,4.189933e-07,8.160714e-08,2.5283953e-08,1.0420263e-06,8.730931e-07,7.2757393e-07,3.3226388e-07,1.3803583e-06,2.1015076e-06,5.7901343e-07,1.0928998e-06,7.875133e-07,9.3671406e-07
L1027,5.9240847e-08,4.8603397e-09,2.4185283e-08,1.207809e-08,2.5218469e-08,1.5221303e-08,7.4185664e-08,1.5163096e-08,1.4406396e-09,3.783498e-09,1.3926183e-08,2.2118911e-09,7.785275e-09,1.1350494e-09,2.6353518e-08,2.1376763e-08,4.1763997e-09,1.12486305e-08,1.268927e-08,3.063178e-08,1.5104888e-08,7.90169e-09,6.359187e-09,2.4883775e-09,3.0559022e-10,2.910383e-11,1.5366822e-08,1.9499566e-08,5.84987e-09,1.3795216e-08,4.5838533e-09,4.5256456e-09,8.396455e-09,1.7156708e-08,7.887138e-09,9.313226e-09,7.421477e-10,1.702574e-08,3.3178367e-09,4.7584763e-09,1.717126e-09,2.6338967e-08
L1363,0.00017254347,4.2236934e-09,8.670395e-08,8.679126e-08,1.6811828e-07,2.2919266e-10,2.0782682e-07,2.0904554e-07,1.672779e-07,2.1827873e-11,4.256435e-09,3.0195224e-10,3.092282e-10,4.6929927e-10,4.6766218e-08,5.2707037e-08,1.70985e-10,6.220944e-10,2.739398e-09,8.380448e-08,8.304414e-08,4.278263e-09,2.4581823e-08,5.2750693e-09,1.2842065e-09,2.5465852e-10,7.385097e-10,1.5934347e-09,3.8198777e-10,7.153358e-08,7.4956915e-08,1.18459866e-07,4.56821e-08,1.0934673e-07,3.682362e-08,9.349606e-10,7.210838e-08,7.188646e-08,8.4786734e-08,3.274181e-11,1.1641532e-09,1.5587648e-07
L2007,5.002221e-07,3.6263373e-08,2.0052539e-07,1.5113619e-07,3.8233702e-07,2.7939677e-08,2.6859925e-07,3.2917887e-07,2.734596e-07,1.5585101e-08,5.81349e-08,9.88075e-09,3.3629476e-08,5.7043508e-09,1.1039083e-07,1.0240183e-07,1.8248102e-08,4.9418304e-08,5.2692485e-08,2.2145105e-07,1.5299884e-07,2.3502798e-07,4.5681372e-07,2.1568849e-07,2.1798769e-08,4.3655746e-10,7.126073e-08,9.0294634e-08,2.6644557e-08,1.0478834e-07,6.420305e-08,1.5519618e-07,1.321896e-07,1.2086821e-07,3.6365236e-08,4.1749445e-08,3.678724e-08,1.17273885e-07,8.182542e-08,2.2759195e-08,7.712515e-09,2.2875611e-07
L393,4.0017767e-10,3.274181e-11,1.7462298e-10,7.6397555e-11,1.7826096e-10,1.05501385e-10,7.275958e-12,1.0186341e-10,0.0,3.6379788e-11,1.0186341e-10,1.0913936e-11,5.4569682e-11,1.0913936e-11,1.8189894e-10,1.4915713e-10,2.1827873e-11,7.6397555e-11,8.367351e-11,2.1100277e-10,9.822543e-11,8.367351e-11,8.0035534e-11,3.274181e-11,0.0,0.0,1.0186341e-10,1.3460522e-10,4.0017767e-11,9.094947e-11,3.274181e-11,3.274181e-11,5.4569682e-11,1.200533e-10,5.4569682e-11,6.548362e-11,1.0913936e-11,1.09139364e-10,2.910383e-11,2.910383e-11,1.4551915e-11,1.8189894e-10
L59,3.1561285e-07,1.4828402e-08,2.1129745e-07,1.811677e-07,3.4394543e-07,2.9071089e-08,3.8679354e-07,4.1805833e-07,3.119858e-07,8.62201e-10,4.6085916e-08,8.2945917e-10,1.3096724e-09,1.4188117e-09,1.5540354e-07,9.141513e-08,4.3655746e-10,2.1500455e-09,5.4023985e-08,2.2813765e-07,2.2698441e-07,2.5549525e-08,1.469707e-07,1.4708348e-08,1.193257e-09,8.1490725e-10,5.9408194e-08,5.9430022e-08,3.5288394e-10,1.8563878e-07,1.557637e-07,2.711531e-07,1.2382225e-07,3.0763476e-07,1.221124e-07,3.6743586e-08,1.4606121e-07,1.8517676e-07,2.0654261e-07,1.1132215e-09,1.7571438e-09,3.919813e-07
L75,8.8196975e-07,7.48405e-08,2.5924237e-07,1.3024692e-07,2.7522037e-07,1.646913e-07,3.9792212e-08,1.4740363e-07,8.0035534e-11,4.1894964e-08,1.531298e-07,2.3865141e-08,8.611096e-08,1.2296368e-08,2.8697104e-07,2.3123721e-07,4.6828063e-08,1.2552482e-07,1.3808312e-07,3.3259857e-07,1.5940168e-07,3.7784048e-07,7.916533e-07,3.7522113e-07,3.866444e-08,7.858034e-10,1.8185528e-07,2.3123721e-07,6.9325324e-08,1.6050762e-07,5.5879354e-08,3.8198777e-08,9.626092e-08,1.9623258e-07,8.986535e-08,1.1106022e-07,1.3162207e-08,1.977096e-07,3.4662662e-08,5.686161e-08,2.0030711e-08,3.025052e-07
L106,1.0840376e-06,7.900235e-08,3.182722e-07,1.7659477e-07,3.940513e-07,1.8091669e-07,6.2354957e-09,2.542729e-07,9.3044946e-08,4.584581e-08,1.67689e-07,2.6411726e-08,9.461655e-08,1.38170435e-08,3.1457603e-07,2.5819463e-07,5.1433744e-08,1.3812678e-07,1.5117257e-07,3.9576116e-07,2.0508014e-07,3.2933167e-07,6.97808e-07,3.157911e-07,3.1774107e-08,8.731149e-10,1.97193e-07,2.506713e-07,7.505878e-08,1.925946e-07,8.484494e-08,9.092764e-08,1.3783574e-07,2.316956e-07,9.754149e-08,1.1985685e-07,4.1836756e-09,2.3224129e-07,6.520713e-08,6.186019e-08,2.1740561e-08,3.7439895e-07
L113,9.57225e-06,1.5133992e-08,5.3667463e-08,2.7066562e-08,1.3317913e-07,3.4197e-08,5.3361873e-08,1.03987986e-07,7.383642e-08,8.396455e-09,3.1170202e-08,4.9185473e-09,1.8291757e-08,3.1723175e-09,5.9531885e-08,5.151378e-08,1.0346412e-08,2.6644557e-08,2.8536306e-08,6.91216e-08,3.30474e-08,6.565824e-08,1.393928e-07,6.314076e-08,6.4610504e-09,1.891749e-10,3.7092832e-08,4.674075e-08,1.4086254e-08,3.351306e-08,1.2703822e-08,6.679329e-09,1.9048457e-08,3.981404e-08,1.7898856e-08,2.3210305e-08,2.9976945e-09,4.010508e-08,6.9703674e-09,1.169974e-08,4.3364707e-09,6.117625e-08
L13,4.0017767e-10,3.274181e-11,1.6007107e-10,7.2759576e-11,1.6734703e-10,1.0186341e-10,0.0,1.0186341e-10,1.0913936e-11,2.5465852e-11,9.094947e-11,1.0913936e-11,5.4569682e-11,7.275958e-12,1.7462298e-10,1.4188117e-10,2.5465852e-11,7.2759576e-11,8.367351e-11,1.9645086e-10,1.0186341e-10,5.4569682e-11,4.3655746e-11,1.8189894e-11,0.0,3.637979e-12,9.822543e-11,1.200533e-10,4.0017767e-11,8.731149e-11,2.5465852e-11,2.1827873e-11,5.0931703e-11,1.09139364e-10,4.7293724e-11,6.184564e-11,3.637979e-12,1.1277734e-10,2.1827873e-11,3.274181e-11,1.0913936e-11,1.7826096e-10
L1343,4.474714e-10,3.6379788e-11,1.382432e-10,7.2759576e-11,1.4551915e-10,8.731149e-11,3.637979e-12,8.0035534e-11,3.637979e-12,1.8189894e-11,8.0035534e-11,1.0913936e-11,5.0931703e-11,3.637979e-12,1.5279511e-10,1.2369128e-10,2.5465852e-11,6.91216e-11,6.91216e-11,1.7826096e-10,8.367351e-11,2.2555469e-10,4.474714e-10,2.1464075e-10,2.1827873e-11,3.637979e-12,9.458745e-11,1.2369128e-10,3.6379788e-11,8.731149e-11,3.274181e-11,2.1827873e-11,4.7293724e-11,1.05501385e-10,4.7293724e-11,5.820766e-11,3.637979e-12,1.05501385e-10,2.1827873e-11,2.5465852e-11,1.8189894e-11,1.6370905e-10
L1344,4.474714e-10,4.0017767e-11,1.382432e-10,6.91216e-11,1.4551915e-10,8.367351e-11,3.637979e-12,8.0035534e-11,7.275958e-12,1.8189894e-11,8.367351e-11,1.0913936e-11,4.7293724e-11,3.637979e-12,1.4915713e-10,1.200533e-10,2.5465852e-11,6.91216e-11,7.2759576e-11,1.7462298e-10,8.367351e-11,2.2555469e-10,4.5110937e-10,2.1100277e-10,2.1827873e-11,3.637979e-12,9.458745e-11,1.200533e-10,4.0017767e-11,8.367351e-11,2.910383e-11,2.1827873e-11,4.7293724e-11,1.09139364e-10,4.7293724e-11,6.184564e-11,1.0913936e-11,1.05501385e-10,1.8189894e-11,2.910383e-11,1.0913936e-11,1.6370905e-10
L1345,1.9603758e-06,1.694134e-07,6.0297316e-07,3.032037e-07,6.4319465e-07,3.821042e-07,2.4680048e-08,3.4330878e-07,7.858034e-10,9.7206794e-08,3.556197e-07,5.538459e-08,2.0005973e-07,2.8521754e-08,6.665068e-07,5.371112e-07,1.0881922e-07,2.9156217e-07,3.2078242e-07,7.729104e-07,3.7060818e-07,9.862997e-07,1.9788276e-06,9.3423296e-07,9.717769e-08,1.891749e-09,4.2433385e-07,5.3973054e-07,1.618464e-07,3.7404243e-07,1.2601959e-07,9.04256e-08,2.2444874e-07,4.5643537e-07,2.0884909e-07,2.5928603e-07,3.1490345e-08,4.6068453e-07,8.009374e-08,1.3271347e-07,4.674075e-08,7.041672e-07
L1353,1.4958787e-06,1.2150849e-07,4.3072214e-07,2.1637243e-07,4.5714842e-07,2.7359056e-07,5.8789738e-09,2.4492329e-07,4.3655746e-11,6.958726e-08,2.5432382e-07,3.9624865e-08,1.4304533e-07,2.0401785e-08,4.7661888e-07,3.8408325e-07,7.773633e-08,2.0845619e-07,2.2935274e-07,5.5240525e-07,2.648012e-07,6.2539766e-07,1.3134995e-06,6.2258914e-07,6.4086635e-08,1.3387762e-09,3.02025e-07,3.8408325e-07,1.151202e-07,2.6657654e-07,9.285577e-08,6.34318e-08,1.5989644e-07,3.2600656e-07,1.4927355e-07,1.8448918e-07,2.1827873e-08,3.2843673e-07,5.7552825e-08,9.444193e-08,3.3294782e-08,5.024922e-07
L1355,9.1407856e-07,7.424387e-08,2.6320777e-07,1.3220415e-07,2.793313e-07,1.6719423e-07,3.5506673e-09,1.4963007e-07,4.3655746e-11,4.2527972e-08,1.5542173e-07,2.4214387e-08,8.73988e-08,1.2470991e-08,2.9123476e-07,2.3467874e-07,4.751928e-08,1.2740202e-07,1.4012767e-07,3.3754623e-07,1.617882e-07,3.8204598e-07,8.0247264e-07,3.803725e-07,3.9159204e-08,8.0035534e-10,1.8456194e-07,2.3467874e-07,7.037306e-08,1.6289414e-07,5.6759745e-08,3.87372e-08,9.769428e-08,1.9917206e-07,9.1211405e-08,1.1272641e-07,1.337321e-08,2.0065636e-07,3.518653e-08,5.7676516e-08,2.035813e-08,3.0702358e-07
L147,1.4862744e-06,1.2147939e-07,4.468311e-07,2.3664325e-07,6.801565e-07,2.6708585e-07,2.1336018e-07,4.7145295e-07,2.3277244e-07,6.746268e-08,2.4752808e-07,3.8708095e-08,1.4045509e-07,2.0925654e-08,4.658068e-07,3.8096914e-07,7.706694e-08,2.0474545e-07,2.2401218e-07,5.621696e-07,2.7980423e-07,6.769551e-07,1.3784738e-06,6.490445e-07,6.740447e-08,1.3969839e-09,2.9589864e-07,3.7573045e-07,1.12573616e-07,2.6714406e-07,9.566429e-08,1.2756209e-07,2.1539745e-07,3.2424578e-07,1.4563557e-07,1.8090941e-07,1.693843e-08,3.2567186e-07,7.005292e-08,9.284122e-08,3.282912e-08,5.1013194e-07
L165,8.361472e-06,8.563511e-07,2.3009488e-07,1.990702e-08,2.73576e-07,3.161258e-07,0.00028833287,2.3841858e-07,4.362082e-07,9.3714334e-08,2.7997885e-07,3.655441e-08,1.549488e-07,1.6880222e-08,4.5762863e-07,3.3713877e-07,9.34815e-08,2.606539e-07,2.0978041e-07,4.5238994e-07,8.777715e-08,2.0120759e-05,3.9953622e-05,2.1209125e-05,2.3719622e-06,1.9790605e-09,1.891749e-07,2.2898894e-07,5.378388e-08,3.419118e-07,7.987255e-07,1.1086231e-06,2.4412293e-07,4.901085e-07,1.9161962e-07,1.0302756e-07,1.8684659e-07,3.6822166e-07,2.8463546e-07,4.2375177e-08,1.268927e-08,7.125782e-07
L167,1.1461889e-06,8.675124e-08,3.210589e-07,1.6073318e-07,3.376117e-07,2.0498555e-07,3.1508534e-07,1.810331e-07,1.724402e-09,5.2066753e-08,1.9002619e-07,2.959132e-08,1.0686199e-07,1.522858e-08,3.5585253e-07,2.8663635e-07,5.8105798e-08,1.5583646e-07,1.7121783e-07,4.1210296e-07,1.9706204e-07,3.807654e-07,8.020361e-07,3.6728306e-07,3.693276e-08,9.531504e-10,2.234301e-07,2.841407e-07,8.523784e-08,1.9646541e-07,7.2526745e-08,4.2338797e-08,1.17688614e-07,2.3997563e-07,1.1007796e-07,1.3646786e-07,1.6982085e-08,2.4224573e-07,4.1574822e-08,6.9936505e-08,2.465822e-08,3.701134e-07
