,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1527,2.4597626e-05,1.7251354e-05,4.0018465e-05,0.000104006846,1.9785948e-05,4.069647e-05,1.0613818e-05,4.411675e-06,1.6503036e-05,0.00020505651
L1558,3.85514e-05,3.5192352e-06,2.6346883e-05,0.0004022338,3.0342722e-05,6.89202e-06,4.7930516e-06,1.3998942e-05,6.4610504e-07,0.00011733477
L1568,4.9934722e-05,5.431287e-05,9.8524615e-06,7.898267e-05,2.5513582e-05,4.0845945e-05,2.556108e-05,2.073124e-06,2.2229739e-05,0.00034000725
L1569,5.8892183e-05,6.4146705e-05,1.1906028e-05,9.3180686e-05,2.9601157e-05,4.788302e-05,3.0255876e-05,2.4363399e-06,2.6430003e-05,0.00040080864
L1574,1.1127442e-05,8.219946e-05,5.180482e-06,0.00013369508,1.0890886e-05,3.4804456e-05,1.29388645e-05,1.7508399e-05,1.6090926e-05,0.0002471609
L1592,5.025789e-05,5.56577e-05,1.0724179e-05,7.950887e-05,2.5585294e-05,4.1188672e-05,2.5732443e-05,2.7185306e-06,2.2567809e-05,0.00034224428
L1601,2.1178275e-05,4.547881e-06,1.3042591e-05,3.099453e-05,1.0106829e-05,2.1114596e-05,2.3636967e-06,1.10059045e-05,2.0363368e-06,
L1636,9.442493e-05,1.2136996e-05,5.414756e-05,0.00040594442,0.00013451744,8.2673505e-06,7.706694e-06,3.4532044e-05,1.0587275e-05,5.058944e-06
L1883,4.4286717e-05,1.1896482e-05,3.607385e-05,0.00037709752,1.2143399e-05,1.0374701e-05,4.510628e-06,2.172077e-05,2.0898879e-06,1.6772188e-05
L1889,3.5307836e-05,9.528012e-06,2.8427341e-05,0.00040004414,8.074916e-06,7.19761e-06,3.3555552e-06,1.5410362e-05,2.2765016e-06,9.025214e-06
L1956,0.00014091097,3.015669e-05,0.00010876544,0.0003505922,4.9676048e-05,4.4409884e-05,1.694262e-05,8.075358e-05,1.02566555e-05,0.00018153852
L2210,2.8626528e-07,9.892974e-07,1.3648532e-06,4.261965e-07,1.4214311e-07,1.7101411e-07,4.68106e-07,7.36909e-08,1.1525117e-08,2.9869843e-06
L2229,7.914787e-08,1.05734216e-07,1.2289092e-07,1.1717202e-07,3.9028237e-08,4.7075446e-08,1.0902295e-07,2.0110747e-08,1.4406396e-08,5.8457954e-07
L2232,4.9185473e-08,5.495385e-07,8.2323095e-07,7.5029675e-08,2.5087502e-08,3.015157e-08,1.268345e-07,1.3038516e-08,4.1909516e-08,0.00025720318
L2390,5.642505e-07,1.3050158e-07,4.5250636e-07,7.6406286e-07,1.3509998e-07,2.0656444e-07,7.7529985e-06,,,
L2400,8.2093175e-07,9.815558e-07,1.3939862e-06,1.0457006e-06,3.4912955e-07,2.1205051e-07,1.2391829e-06,1.0574004e-06,6.632763e-08,4.7195645e-06
L2460,1.5746336e-05,2.6456546e-05,0.00068472745,2.1560118e-07,7.147901e-08,8.638017e-08,1.1257362e-06,3.678724e-08,1.7408747e-06,0.00025458005
L2461,1.4202669e-08,1.4527031e-06,5.3878466e-06,1.8102583e-08,6.024493e-09,7.2759576e-09,9.580981e-08,3.099558e-09,1.3128738e-07,2.3680623e-06
L2462,2.0307256e-05,2.500345e-05,0.00069011725,1.9720756e-07,6.542541e-08,7.939525e-08,1.0298099e-06,3.3760443e-08,1.6095582e-06,0.00025694864
L2463,8.949428e-08,3.971072e-06,1.4749676e-05,4.9476512e-08,1.641456e-08,1.9877916e-08,2.6193447e-07,8.411007e-09,3.5896664e-07,0.00019609016
L2471,1.2171222e-07,6.459304e-06,0.00042480906,2.6018824e-08,8.643838e-09,1.0448275e-08,1.3783574e-07,4.452886e-09,1.8865103e-07,1.4100748e-05
L2478,1.830631e-08,2.0410516e-07,3.0570664e-07,2.788147e-08,9.313226e-09,1.1175871e-08,4.71191e-08,4.8603397e-09,1.557055e-08,5.3536496e-07
L2479,1.2703822e-08,1.4148827e-07,2.1190499e-07,1.9339495e-08,6.4756023e-09,7.756171e-09,3.266905e-08,3.3614924e-09,1.0782969e-08,3.711466e-07
L2481,1.8428545e-07,6.369082e-07,8.789357e-07,2.743909e-07,9.150244e-08,1.1007069e-07,3.0145748e-07,4.749745e-08,7.450581e-09,1.9232393e-06
L2489,1.7826096e-08,6.159826e-08,8.4983185e-08,2.6542693e-08,8.869392e-09,1.0652002e-08,2.9162038e-08,4.5765773e-09,7.348717e-10,1.8595165e-07
L2495,6.821938e-08,1.8803985e-07,2.529123e-07,1.0142685e-07,3.381865e-08,4.071626e-08,1.05792424e-07,1.7520506e-08,2.240995e-09,6.4331107e-07
L2507,1.7986167e-08,2.005836e-07,3.0064257e-07,2.73576e-08,9.138603e-09,1.1001248e-08,4.6216883e-08,4.773028e-09,1.5308615e-08,4.7974754e-07
L2525,5.8532692e-05,6.300211e-05,1.1364929e-05,9.251945e-05,2.921559e-05,4.734192e-05,3.020931e-05,1.9492581e-06,2.6214868e-05,0.00039841235
L2532,8.229166e-06,7.5786375e-06,7.1246177e-07,1.2924429e-05,4.2871106e-06,6.5516215e-06,6.8008434e-05,4.9839728e-06,3.580004e-06,5.6410907e-05
L2551,1.9098516e-06,1.6317354e-06,2.6648631e-06,2.5940826e-06,5.5436976e-07,7.0541864e-07,,,,
L2577,1.4420948e-08,4.6382775e-07,5.2338874e-07,2.3530447e-07,4.0706072e-07,1.8636638e-07,3.3771794e-06,1.5007681e-06,1.6311242e-07,3.7415884e-07
L2578,9.313517e-07,6.784685e-07,1.1784432e-06,1.3680838e-06,4.931353e-07,4.5308843e-07,2.3742905e-06,6.228074e-06,8.565257e-08,4.789792e-06
L2584,6.679911e-07,5.5343844e-07,9.271607e-07,9.1368565e-07,4.0861778e-08,2.3044413e-07,5.4842385e-06,2.744404e-06,8.003553e-09,3.763038e-06
L2592,2.7640635e-07,1.15727744e-07,2.030647e-07,4.782778e-07,9.363794e-08,8.014467e-08,1.4269826e-06,2.6287962e-06,2.3403118e-08,1.0907606e-06
L2602,1.9988511e-07,2.1393498e-07,3.086825e-07,2.5261397e-07,5.2728865e-08,3.9268343e-08,3.0217052e-07,2.5149347e-07,2.492743e-08,1.1220327e-06
L2754,0.00020462088,2.4025328e-05,0.00012966059,0.00068906974,0.00028256606,1.2439676e-05,1.8760562e-05,8.136965e-05,1.9321218e-05,7.920712e-05
L2801,8.861115e-05,3.641937e-06,0.00010856334,0.00028366968,0.00013601966,0.00011451449,1.3985671e-05,6.0014892e-05,4.219357e-06,9.2539936e-05
L2806,3.590132e-05,5.708332e-05,2.267072e-06,0.00014832686,5.0852774e-05,4.3504406e-05,5.6549907e-06,2.3697037e-05,1.1147931e-06,2.907496e-05
L2823,3.0643307e-05,8.232519e-05,3.5972334e-06,0.00046101818,7.359544e-05,6.602332e-05,9.209849e-06,3.7719496e-05,1.0705553e-06,3.1170435e-05
L2844,3.7948368e-05,1.1084368e-05,3.946107e-05,0.00051805656,4.7051115e-05,3.8413797e-05,5.77257e-06,2.3046974e-05,9.49949e-08,1.0428252e-05
L2846,3.165868e-05,1.0065967e-05,3.7481776e-05,0.00072114216,3.9390055e-05,3.334554e-05,5.2221585e-06,2.0575011e-05,1.7206185e-07,5.003065e-06
L2849,2.9160874e-05,6.0002785e-06,2.339948e-05,2.0642066e-05,4.083477e-05,1.5377533e-05,3.4945551e-06,1.5543308e-05,2.2456516e-06,
L2850,5.0603645e-05,7.900642e-06,4.0520215e-05,0.00027296785,3.829249e-05,2.905191e-05,4.1057356e-06,1.6722362e-05,3.6670826e-07,1.3039913e-05
L2851,6.7706686e-05,1.0002172e-05,5.387701e-05,0.00034494698,4.9817376e-05,3.8316473e-05,5.859649e-06,2.325233e-05,5.029142e-08,8.649891e-06
L2900,0.0006172769,6.663101e-05,4.4272747e-05,6.876048e-05,0.0001334697,8.682255e-05,4.9697235e-05,1.7902814e-05,2.8992537e-05,0.00058314344
L2919,0.0002578837,8.4269326e-05,3.9314386e-05,0.00022747507,8.566072e-05,8.2979444e-05,3.6608428e-05,2.7725473e-05,2.196012e-05,0.0003907173
L2934,0.00028275233,9.519979e-05,4.407903e-05,0.00026016915,0.00010261871,9.566406e-05,3.6347657e-05,3.2041688e-05,2.1736603e-05,0.00041515427
L2935,0.00023249257,8.916529e-05,2.2978056e-05,0.00021720584,9.6257776e-05,8.59797e-05,2.4917535e-05,1.5803613e-05,2.6793685e-05,0.00044633867
L2995,1.188193e-05,1.3910612e-06,9.058509e-06,1.7561819e-05,6.4627384e-06,6.3124025e-06,2.2625172e-06,,,
L3208,2.1640997e-05,1.5151163e-06,1.614666e-05,4.090491e-05,,,,,,
L1334,3.3566263e-05,1.7529353e-05,8.910615e-05,8.882349e-05,9.0485904e-05,2.6574824e-05,9.973533e-06,7.5969845e-05,1.7263927e-05,0.00018416392
L1468,2.2790045e-06,4.575122e-06,5.3382246e-06,3.095949e-06,3.828609e-06,1.752458e-06,1.2061791e-06,4.315574e-06,9.0670073e-07,3.3166725e-06
L1472,0.00028717145,0.00019396842,3.6276877e-05,0.00046777911,0.00014632009,0.00017117336,5.253963e-05,4.642643e-05,7.070042e-05,0.0010071341
L1522,1.2920704e-05,0.0001335782,1.07502565e-05,0.00017026206,4.4226646e-05,5.8726873e-05,1.756195e-05,0.00017170329,2.0800624e-05,0.00043237163
L1541,0.00022555143,9.490922e-05,4.722085e-05,0.00032328907,0.00010196958,0.00011788495,3.1890348e-05,8.079223e-06,4.54979e-05,0.0006808238
L1576,5.1596435e-05,7.6784985e-05,3.696722e-05,2.93029e-05,2.0860694e-05,2.2856751e-05,3.304612e-05,2.902071e-05,4.817196e-05,7.544225e-05
L1588,6.733253e-05,7.957709e-05,1.0520918e-05,0.00010489207,4.0460844e-05,2.1284213e-05,2.4245819e-05,5.734386e-06,1.4184043e-05,
L1593,4.594261e-05,4.6649948e-05,5.4780394e-06,7.120939e-05,2.449425e-05,4.1257124e-05,2.2092834e-05,4.4284388e-07,1.7645769e-05,0.00034499355
L1594,4.5918394e-05,4.72744e-05,6.16489e-06,7.101614e-05,2.3789238e-05,4.103221e-05,2.2289809e-05,1.383014e-07,1.780875e-05,0.0003444953
L1595,4.578475e-05,5.059503e-05,7.673632e-06,7.115677e-05,2.4014153e-05,4.0050596e-05,1.92062e-05,1.9581057e-06,1.6878359e-05,0.00033610594
L1846,8.217385e-05,1.867814e-05,6.359513e-05,,,,,,,
L2086,2.3256522e-05,6.302912e-05,5.410728e-05,7.5094867e-06,9.957934e-06,2.3314497e-05,2.9921066e-05,4.9118884e-05,4.885369e-05,
L2613,4.7284644e-05,4.9775466e-05,6.9420785e-06,7.327413e-05,2.4768058e-05,4.250044e-05,2.2561755e-05,6.444752e-07,1.8483493e-05,0.00035375357
L2616,2.0770785e-06,2.2058884e-06,2.3912762e-06,2.1797023e-06,1.4629259e-06,4.2910324e-07,1.3072058e-06,2.7379756e-06,3.558489e-07,7.199058e-06
L437,2.9801857e-05,4.430348e-05,0.00020357966,0.00014305348,1.5756115e-05,2.793502e-06,9.685755e-08,9.48431e-05,9.433855e-05,0.00012752484
L445,1.49006955e-05,2.0483276e-05,9.451853e-05,0.00013470685,7.478986e-06,1.3214303e-06,8.381903e-09,4.4342247e-05,4.3245498e-05,5.278096e-05
L1465,0.0005046651,0.00022157654,0.00010258332,0.00070685893,0.0002402328,0.00026579574,7.724762e-05,8.070469e-05,0.000107008964,0.0015186295
L1466,0.00050429255,0.00022311136,0.00010092929,0.0007063821,0.00023850426,0.0002651587,7.7877194e-05,7.950887e-05,0.000107456,0.0015184022
L1467,0.0005038157,0.0002248697,9.918213e-05,0.0007057749,0.00023749843,0.00026477873,7.8421086e-05,7.805228e-05,0.000107806176,0.0015184917
L1471,0.00018023979,8.145813e-05,3.353879e-05,0.00025939662,8.108467e-05,9.4814226e-05,2.6169233e-05,2.71108e-06,3.736373e-05,0.0005495399
L1860,6.508175e-05,1.1879951e-05,5.4182718e-05,9.7096665e-05,4.6039233e-05,3.5116682e-05,1.1267373e-05,7.104338e-05,1.2161443e-05,0.00018445193
L1868,5.794177e-05,1.18644675e-05,4.738965e-05,8.5636275e-05,4.305388e-05,3.1840522e-05,9.845593e-06,7.654773e-05,1.1042575e-05,0.0001607975
L2365,1.8189894e-10,2.1827873e-11,3.4197e-10,5.8935257e-10,1.3096724e-10,1.70985e-10,6.548362e-11,2.3283064e-10,1.0913936e-11,1.5716068e-09
L2619,0.00018291175,7.905718e-05,3.6916696e-05,0.00026281457,8.274056e-05,9.5912255e-05,2.611801e-05,5.7267025e-06,3.726594e-05,0.000554597
L1720,0.00051164627,3.4557655e-05,0.00019720756,0.00031506736,0.00016332092,0.0001583416,4.8410613e-05,0.00023590727,0.00011223508,0.0001934492
L1736,0.000546189,3.2329466e-05,0.00020213937,0.00032127462,0.00016003009,0.00015866756,6.341655e-05,0.00024202,4.777545e-05,0.00020174123
L3148,2.8850976e-05,1.24746e-05,8.048024e-06,0.0005338257,3.5038684e-06,1.9798521e-05,3.2353448e-05,7.2500436e-05,3.87826e-06,0.00015985011
L324,7.2568655e-06,4.811678e-06,6.132759e-06,0.00014601042,1.4340039e-05,1.1475524e-05,1.2957025e-06,1.2057833e-05,3.6039855e-06,
L516,9.696407e-06,8.552684e-06,2.0162086e-05,0.00022076449,9.963638e-06,1.6957056e-06,2.1936721e-06,4.395435e-06,4.681642e-06,2.7221802e-05
L912,1.5379163e-05,0.00023080874,0.00016157213,3.3562537e-06,5.9795566e-06,,,,,
L913,1.0665157e-05,3.025285e-06,1.0300777e-05,6.876141e-05,1.1107419e-05,3.0749943e-06,2.2666063e-06,3.8387952e-06,3.851368e-06,0.0002955394
L914,7.2534895e-06,1.6534468e-06,5.6709396e-06,4.0279585e-05,6.6583743e-06,1.6783597e-06,1.2298115e-06,2.1007145e-06,2.1337764e-06,0.0003239314
L916,5.8552832e-06,1.2592645e-06,4.3280306e-06,3.142492e-05,5.2681426e-06,1.2623495e-06,9.2264963e-07,1.5817932e-06,1.6351696e-06,0.00033283868
L917,3.005087e-06,8.698553e-07,2.8820068e-06,1.979887e-05,3.3246179e-06,8.268689e-07,6.0599996e-07,1.0384538e-06,1.1112134e-06,0.00024223069
L1076,2.7092174e-05,9.129569e-05,2.106186e-05,0.00028175674,1.911819e-05,6.821845e-05,2.954714e-05,2.270937e-05,1.5637837e-05,0.00080745853
L1222,5.7695433e-07,2.1699816e-07,9.282958e-06,3.0701049e-06,2.5616027e-06,1.1445954e-06,5.0105155e-07,2.9746443e-06,8.583069e-06,0.0002886695
L1754,0.00024055131,0.00028184615,4.672818e-05,0.00048021972,0.00011046417,0.00015153922,5.659554e-05,4.609395e-05,3.625825e-05,0.0009213807
L2196,0.00021122722,0.00038612122,0.0003830772,0.00022831233,6.390223e-05,7.743016e-06,1.3120007e-05,0.0003286344,5.9626997e-05,0.00039510895
L2929,0.000103153754,0.0002517621,5.0357543e-05,0.000115578994,0.00020963652,0.00021527614,2.8837472e-05,5.4353848e-05,8.824281e-06,0.00064955
L2930,0.0003001932,0.00031149574,1.7211773e-05,0.00031151716,0.00017134566,0.00019525178,6.061606e-05,2.9393472e-05,2.793409e-05,0.0007957369
L2931,0.00029220525,0.00031075906,2.2280961e-05,0.00030286238,0.00016624574,0.00019221753,5.996693e-05,3.286358e-05,3.1113625e-05,0.0007783752
L906,2.7046073e-05,0.00014446629,3.0262396e-05,2.4101231e-05,1.211511e-05,8.116895e-05,2.1267682e-05,2.9157847e-05,1.2494158e-05,0.00054886844
L910,2.1716347e-05,0.00022975914,0.00015414692,,,,,,,
L1367,1.1545839e-05,1.9282335e-05,0.0005072928,1.9627623e-07,6.542541e-08,7.916242e-08,1.0556541e-06,3.3760443e-08,1.2160745e-06,0.00014180015
L1431,5.020993e-07,1.3402896e-06,1.8448336e-06,8.411007e-07,2.675224e-07,4.0233135e-07,8.494826e-07,1.0058284e-07,2.4330802e-08,5.278038e-06
L2233,1.0186341e-10,2.1827873e-11,3.3469405e-10,5.311449e-10,1.09139364e-10,1.4551915e-10,4.3655746e-11,2.1100277e-10,0.0,1.5279511e-09
L2407,6.928807e-06,6.27432e-06,5.546026e-07,1.0809628e-05,3.4037512e-06,5.38351e-06,5.7997182e-05,4.355563e-06,3.003981e-06,4.7227135e-05
L2530,9.281095e-06,8.828007e-06,1.0533258e-06,1.45735685e-05,4.734611e-06,7.3984265e-06,7.950398e-05,5.658949e-06,4.114816e-06,6.379746e-05
L2535,1.595635e-05,8.970499e-06,4.197005e-06,2.4968525e-05,7.991679e-06,1.2311852e-05,8.661859e-05,9.90578e-06,5.551381e-06,0.00010797661
L2540,1.0063173e-05,9.011477e-06,7.1828254e-07,1.5863683e-05,5.2701216e-06,7.936731e-06,8.7175285e-05,6.8964437e-06,4.1758176e-06,6.8384456e-05
L2549,6.0501043e-06,6.8002846e-06,1.0344433e-05,9.08738e-06,3.4724362e-06,3.1886157e-06,0.00019319425,5.9467275e-06,1.1839438e-06,2.833712e-05
L2579,2.1153246e-06,1.6545528e-06,2.819521e-06,3.0405354e-06,7.597264e-07,9.458163e-07,1.1343043e-05,1.8650317e-06,1.4004763e-07,1.13355345e-05
L2580,5.425536e-07,3.1356467e-07,6.807968e-07,8.813222e-07,1.4746911e-07,3.8812868e-07,8.709234e-06,5.2907853e-07,1.2724195e-07,3.029214e-06
L2586,1.4603138e-06,8.875504e-07,1.7996063e-06,1.9686413e-06,8.8184606e-08,6.110058e-07,2.8880604e-05,3.359688e-06,1.3632234e-07,8.631207e-06
L2881,0.00019205734,1.5577301e-05,0.00016054232,4.7829933e-05,0.00023776572,0.000102291815,2.4544075e-05,9.8319724e-05,6.9737434e-06,0.00025651325
L2882,0.00018859189,1.5264377e-05,0.00015795138,5.287584e-05,0.000236555,0.00010094233,2.3839064e-05,9.616185e-05,7.54185e-06,0.00026595592
L3234,5.0587812e-05,9.13511e-06,3.4742756e-05,4.934892e-05,8.960592e-05,2.6532332e-05,5.3648837e-06,3.4609577e-05,4.3731416e-06,0.00011611194
L1122,2.7162023e-05,9.129476e-05,2.106186e-05,0.00028175302,1.911819e-05,6.821938e-05,2.9546209e-05,2.270937e-05,1.5637837e-05,0.0008074576
L2089,4.5155175e-05,9.4116665e-05,0.00018200465,0.00023683906,5.0596893e-05,0.00017835852,3.175484e-05,4.6808273e-05,7.114839e-06,3.333483e-05
L3124,3.7168385e-05,2.590986e-05,0.00036283676,4.7867885e-05,3.9520673e-05,4.2240135e-06,5.195616e-06,1.1119526e-05,1.43582e-05,0.00022032461
L384,1.9347295e-05,0.000109024346,0.0001264438,0.00033848546,1.5003607e-05,0.00012771972,9.728223e-05,0.00014740601,1.3777986e-05,0.0016093487
L388,3.096182e-05,0.00010264292,0.00012276601,0.000338736,9.490177e-06,0.00012288522,8.8341534e-05,0.00014390517,1.2866221e-05,0.0017183339
L657,4.516542e-05,9.7453594e-05,0.00017871615,0.00027115876,5.5801123e-05,0.0001769741,,,,
L661,4.861178e-05,9.909691e-05,0.00018124236,0.0002562548,5.347235e-05,0.00017759344,5.5963174e-06,4.8401766e-05,8.09785e-06,4.758034e-05
L670,4.7606416e-05,9.973766e-05,0.00018222956,0.00025047688,5.25699e-05,0.00017783977,5.8328733e-06,4.8001297e-05,7.750001e-06,5.3191558e-05
L2682,8.082762e-05,6.1532483e-06,6.475346e-05,0.0002461914,9.40403e-06,3.322214e-05,9.624753e-06,3.8915314e-05,1.2037344e-05,6.10156e-06
L1195,8.419156e-07,1.437962e-06,2.8643757e-05,3.4656376e-05,7.890165e-06,8.1807375e-06,2.5592744e-06,3.9394945e-06,5.3253025e-05,0.0006081499
L1196,8.121133e-07,1.5050173e-06,3.039278e-05,3.580749e-05,8.426607e-06,8.571893e-06,2.6728958e-06,3.742054e-06,5.0991774e-05,0.0005319994
L1197,9.201467e-07,2.1774322e-06,3.6852434e-05,3.901869e-05,1.01700425e-05,7.579103e-06,3.632158e-06,4.9360096e-07,4.4662505e-05,0.00033761375
L1199,5.736947e-07,2.849847e-06,4.3284148e-05,4.2654574e-05,1.1604279e-05,7.1041286e-06,4.6063215e-06,2.5704503e-06,3.921613e-05,0.0001258254
L1209,4.1164458e-07,8.251518e-07,2.0947307e-05,2.1176413e-05,5.170703e-06,4.488975e-06,1.5553087e-06,1.1716038e-06,5.2930787e-05,0.00034911744
L295,1.1291355e-05,1.4147721e-05,1.2474135e-05,0.0005098274,5.719252e-06,6.997958e-06,9.4249845e-07,1.9744039e-06,6.363727e-06,0.0006110091
L2989,3.83266e-05,1.51605345e-05,2.3651286e-05,0.00042058842,2.1486718e-05,1.2539735e-05,5.1343814e-06,1.9772677e-05,6.611459e-06,0.00017859665
L3040,1.5154132e-05,3.1059026e-06,3.753102e-05,7.7215605e-05,8.848612e-06,1.630775e-05,3.956491e-06,2.8714887e-05,7.4819545e-06,0.00012460566
L2038,9.2292204e-05,3.4910627e-05,0.000302881,0.0006202059,2.8527342e-05,3.3383258e-05,1.6552396e-05,3.9170496e-05,5.8421865e-06,0.0010468466
L3122,9.0918504e-05,3.5699457e-05,0.0002949247,0.0006136261,2.7486123e-05,3.2896176e-05,1.6534701e-05,3.9114617e-05,5.90086e-06,0.0009857286
L376,7.3174015e-05,2.7753413e-06,0.00019378029,0.0007081814,3.606081e-05,8.832291e-05,1.8798746e-05,3.937632e-06,0.00010944344,0.0014168471
L386,9.347871e-05,0.00010557845,0.0003230758,0.0011905469,1.1272728e-05,0.00023183972,0.000119410455,0.0001626052,0.0001244843,0.003366584
L156,3.656e-05,4.2781234e-05,7.575378e-06,1.4305115e-06,6.781891e-06,5.2526593e-07,3.7811697e-07,9.81614e-07,2.6524067e-06,0.0003294088
L184,3.6822632e-05,4.2993575e-05,7.927418e-06,3.9078295e-06,7.1208924e-06,5.848706e-07,3.091991e-07,8.34465e-07,2.7855858e-06,0.00032703858
L74,1.7881393e-06,1.4528632e-06,2.413988e-06,1.7024577e-05,2.3171306e-06,4.1350722e-07,4.749745e-07,1.0002404e-06,9.201467e-07,0.00020021945
L81,3.9394945e-06,3.2037497e-06,5.32344e-06,3.7530437e-05,5.107373e-06,9.164214e-07,1.0430813e-06,2.2053719e-06,2.0284206e-06,0.00030996092
L2421,3.351085e-05,2.9334798e-05,1.33086e-06,5.3448603e-05,1.7499551e-05,2.7250499e-05,0.00023174193,1.7699786e-05,1.3182871e-05,0.00023095775
L2423,1.2636185e-05,1.4408492e-05,2.180459e-05,1.8953346e-05,7.232651e-06,6.617047e-06,0.00040638167,9.630341e-06,2.4968758e-06,5.93788e-05
L2504,4.2142347e-08,4.7218055e-07,7.0768874e-07,6.437767e-08,2.142042e-08,2.5960617e-08,1.08848326e-07,1.1175871e-08,3.608875e-08,0.00055542716
L2950,4.285481e-06,3.1495816e-05,2.1943008e-05,2.8320588e-05,2.9527582e-06,1.0500313e-05,4.7873473e-06,2.2786087e-05,6.2859035e-05,8.134614e-05
L1374,7.236004e-05,3.6776066e-05,9.016693e-05,0.00010679662,3.5375357e-05,4.2960048e-05,8.314848e-05,1.8075109e-05,2.7447939e-05,0.00034861267
L1437,7.238984e-05,3.46601e-05,8.6948276e-05,0.00010688603,3.542006e-05,4.298985e-05,8.3476305e-05,1.809001e-05,2.7254224e-05,0.00035192072
L1438,7.288158e-05,3.4928322e-05,8.760393e-05,0.000107601285,3.565848e-05,4.3287873e-05,8.402765e-05,1.8209219e-05,2.7433038e-05,0.0003542155
L1439,7.288158e-05,3.491342e-05,8.763373e-05,0.000107601285,3.565848e-05,4.3287873e-05,8.401275e-05,1.8209219e-05,2.7433038e-05,0.0003541857
L1440,7.1674585e-05,3.376603e-05,8.530915e-05,0.000105798244,3.5062432e-05,4.2572618e-05,8.267164e-05,1.7926097e-05,2.6926398e-05,0.0003490597
L1441,7.100403e-05,3.3542514e-05,8.4623694e-05,0.00010482967,3.4749508e-05,4.2170286e-05,8.189678e-05,1.7747283e-05,2.6673079e-05,0.00034569204
L1442,7.31498e-05,3.4198165e-05,8.665025e-05,0.00010803342,3.580749e-05,4.3451786e-05,8.447468e-05,1.8283725e-05,2.7447939e-05,0.0003567785
L1443,7.331371e-05,3.3915043e-05,8.633733e-05,0.00010819733,3.5852194e-05,4.3526292e-05,8.4638596e-05,1.8313527e-05,2.746284e-05,0.00035782158
L1447,7.1525574e-05,3.413856e-05,8.5800886e-05,0.00010563433,3.5002828e-05,4.249811e-05,8.2463026e-05,1.7866492e-05,2.6896596e-05,0.0003478527
L1449,7.100403e-05,3.3542514e-05,8.4623694e-05,0.00010482967,3.4734607e-05,4.2155385e-05,8.191168e-05,1.7732382e-05,2.6673079e-05,0.00034569204
L1452,7.3477626e-05,3.3661723e-05,8.59946e-05,0.000108495355,3.5956502e-05,4.36455e-05,8.4891915e-05,1.835823e-05,2.7492642e-05,0.0003592819
L1453,7.377565e-05,3.3274293e-05,8.559227e-05,0.000108897686,3.607571e-05,4.3809414e-05,8.5279346e-05,1.8432736e-05,2.7537346e-05,0.00036132336
L1454,7.377565e-05,3.3304095e-05,8.556247e-05,0.000108897686,3.607571e-05,4.3809414e-05,8.5264444e-05,1.8462539e-05,2.7567148e-05,0.00036133826
L1460,9.320676e-06,6.788224e-05,0.00010044128,7.2792172e-06,1.0356307e-06,5.9083104e-06,0.00032904,2.811104e-05,7.0109963e-06,0.00058258325
L1488,0.0004948154,0.00028820336,0.00020357966,0.0006987676,0.00023978949,0.00027160347,0.00040537864,0.000109255314,9.958446e-05,0.0022663102
L2085,7.198751e-05,3.6478043e-05,8.952618e-05,0.000106319785,3.5241246e-05,4.2766333e-05,8.277595e-05,1.7985702e-05,2.732873e-05,0.00034716725
L2095,7.390976e-05,3.3169985e-05,8.542836e-05,0.000109136105,3.616512e-05,4.389882e-05,8.548796e-05,1.847744e-05,2.759695e-05,0.00036239624
L2449,8.591451e-07,0.00017687306,0.0003351845,2.3283064e-10,0.0,0.0,2.139085e-05,1.1641532e-10,1.9696308e-05,0.00015617418
L2458,6.945431e-05,0.0006055236,0.0008508116,0.00010612607,3.516674e-05,4.2691827e-05,0.00015881658,1.79708e-05,4.0456653e-05,0.00080394745
L2459,7.234514e-05,3.6776066e-05,9.016693e-05,0.00010681152,3.5390258e-05,4.297495e-05,8.314848e-05,1.8075109e-05,2.746284e-05,0.00034862757
L2500,7.312e-05,3.4302473e-05,8.6829066e-05,0.00010792911,3.5762787e-05,4.3436885e-05,8.434057e-05,1.8268824e-05,2.7433038e-05,0.00035628676
L2515,7.367134e-05,3.3408403e-05,8.5666776e-05,0.00010879338,3.606081e-05,4.377961e-05,8.5145235e-05,1.8417835e-05,2.7537346e-05,0.0003607124
L2517,7.4222684e-05,3.2901764e-05,8.521974e-05,0.00010958314,3.632903e-05,4.4092536e-05,8.589029e-05,1.8537045e-05,2.7641654e-05,0.0003643632
L2518,7.4759126e-05,3.248453e-05,8.480251e-05,0.0001103878,3.656745e-05,4.439056e-05,8.660555e-05,1.8686056e-05,2.7760863e-05,0.00014674664
L1771,0.009606391,0.0003406182,0.0035836622,0.0043485686,0.0037646964,0.0030512288,0.0012061968,0.0036896542,0.00084631145,0.007287711
L1773,0.009914741,0.00020198524,0.004119657,0.0042513534,0.0039051324,0.0030942634,0.0011579767,0.0041524693,0.0008055717,0.0070204064
L2452,6.8470836e-05,0.00078096986,0.0011838228,0.00010596216,3.5122037e-05,4.2632222e-05,0.00017987192,1.7926097e-05,6.005168e-05,0.0017716587
L2453,6.844103e-05,0.00078094006,0.0011838078,0.000105947256,3.5107136e-05,4.261732e-05,0.00017987192,1.7926097e-05,6.005168e-05,0.0017716587
L1260,0.0062680766,0.0001526922,0.0015984103,0.0031066611,0.00094851106,0.0011791736,0.0013336688,0.002203077,0.0013706312,0.003510818
